GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500469,130,201943,Brandon Jennings,1610612765,Detroit Pistons,2,8,56,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-79,232,1,0,20151229,0,NYK,DET
Shot Chart Detail,21500469,365,201943,Brandon Jennings,1610612765,Detroit Pistons,4,11,3,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,149,1,0,20151229,0,NYK,DET
Shot Chart Detail,21500469,478,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,58,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-225,-15,1,1,20151229,0,NYK,DET
Shot Chart Detail,21500469,491,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,0,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-17,2,1,1,20151229,1,NYK,DET
Shot Chart Detail,21500486,114,201943,Brandon Jennings,1610612765,Detroit Pistons,1,0,6,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-4,262,1,0,20151231,0,DET,MIN
Shot Chart Detail,21500486,137,201943,Brandon Jennings,1610612765,Detroit Pistons,2,10,47,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151231,0,DET,MIN
Shot Chart Detail,21500486,149,201943,Brandon Jennings,1610612765,Detroit Pistons,2,9,22,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-22,262,1,1,20151231,0,DET,MIN
Shot Chart Detail,21500486,184,201943,Brandon Jennings,1610612765,Detroit Pistons,2,5,19,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20151231,0,DET,MIN
Shot Chart Detail,21500486,187,201943,Brandon Jennings,1610612765,Detroit Pistons,2,4,53,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-68,247,1,0,20151231,0,DET,MIN
Shot Chart Detail,21500486,379,201943,Brandon Jennings,1610612765,Detroit Pistons,3,0,2,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,41,-158,380,1,0,20151231,0,DET,MIN
Shot Chart Detail,21500486,491,201943,Brandon Jennings,1610612765,Detroit Pistons,4,1,58,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,31,76,301,1,0,20151231,0,DET,MIN
Shot Chart Detail,21500486,500,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,58,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-71,267,1,0,20151231,0,DET,MIN
