GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500335,149,203088,Kendall Marshall,1610612755,Philadelphia 76ers,2,8,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,175,1,1,20151211,PHI,DET
Shot Chart Detail,0021500335,317,203088,Kendall Marshall,1610612755,Philadelphia 76ers,3,7,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,21,1,0,20151211,PHI,DET
Shot Chart Detail,0021500335,352,203088,Kendall Marshall,1610612755,Philadelphia 76ers,3,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20151211,PHI,DET
Shot Chart Detail,0021500335,354,203088,Kendall Marshall,1610612755,Philadelphia 76ers,3,3,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20151211,PHI,DET
Shot Chart Detail,0021500355,66,203088,Kendall Marshall,1610612755,Philadelphia 76ers,1,4,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-78,229,1,0,20151213,TOR,PHI
Shot Chart Detail,0021500355,72,203088,Kendall Marshall,1610612755,Philadelphia 76ers,1,3,45,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,26,1,0,20151213,TOR,PHI
Shot Chart Detail,0021500355,420,203088,Kendall Marshall,1610612755,Philadelphia 76ers,4,11,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,130,139,1,1,20151213,TOR,PHI
Shot Chart Detail,0021500376,11,203088,Kendall Marshall,1610612755,Philadelphia 76ers,1,10,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,0,1,0,20151216,ATL,PHI
Shot Chart Detail,0021500376,159,203088,Kendall Marshall,1610612755,Philadelphia 76ers,2,10,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,65,1,1,20151216,ATL,PHI
Shot Chart Detail,0021500376,169,203088,Kendall Marshall,1610612755,Philadelphia 76ers,2,9,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-42,100,1,1,20151216,ATL,PHI
Shot Chart Detail,0021500376,182,203088,Kendall Marshall,1610612755,Philadelphia 76ers,2,8,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-73,232,1,0,20151216,ATL,PHI
Shot Chart Detail,0021500376,278,203088,Kendall Marshall,1610612755,Philadelphia 76ers,3,11,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,91,223,1,0,20151216,ATL,PHI
Shot Chart Detail,0021500376,290,203088,Kendall Marshall,1610612755,Philadelphia 76ers,3,10,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,210,80,1,1,20151216,ATL,PHI
Shot Chart Detail,0021500388,8,203088,Kendall Marshall,1610612755,Philadelphia 76ers,1,10,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-88,139,1,0,20151218,PHI,NYK
