GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500062,514,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,0,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,8,1,0,20151104,ATL,BKN
Shot Chart Detail,0021500179,135,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,8,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-104,239,1,1,20151120,BOS,BKN
Shot Chart Detail,0021500179,370,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,61,9,614,1,0,20151120,BOS,BKN
Shot Chart Detail,0021500179,422,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,7,11,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-60,160,1,1,20151120,BOS,BKN
Shot Chart Detail,0021500179,446,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,4,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-204,175,1,0,20151120,BOS,BKN
Shot Chart Detail,0021500197,388,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-145,203,1,0,20151122,BKN,BOS
Shot Chart Detail,0021500223,327,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,4,12,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,3,1,0,20151125,OKC,BKN
Shot Chart Detail,0021500223,381,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,11,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,0,20151125,OKC,BKN
Shot Chart Detail,0021500283,397,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,10,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,141,1,0,20151204,NYK,BKN
Shot Chart Detail,0021500283,500,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,3,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,-6,1,0,20151204,NYK,BKN
Shot Chart Detail,0021500447,496,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,1,33,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,0,1,1,20151226,BKN,WAS
Shot Chart Detail,0021500566,249,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,7,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,24,185,1,1,20160111,BKN,SAS
Shot Chart Detail,0021500596,502,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,0,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,137,203,1,0,20160115,BKN,POR
Shot Chart Detail,0021500631,147,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,5,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,170,1,0,20160120,BKN,CLE
Shot Chart Detail,0021500647,348,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,9,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,1,20160122,BKN,UTA
Shot Chart Detail,0021500647,365,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,7,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20160122,BKN,UTA
Shot Chart Detail,0021500647,373,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,6,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,125,218,1,1,20160122,BKN,UTA
Shot Chart Detail,0021500647,384,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,33,237,1,0,20160122,BKN,UTA
Shot Chart Detail,0021500647,439,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,0,43,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,2,1,1,20160122,BKN,UTA
Shot Chart Detail,0021500664,136,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,8,58,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-73,57,1,1,20160124,BKN,OKC
Shot Chart Detail,0021500664,172,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,6,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-176,154,1,0,20160124,BKN,OKC
Shot Chart Detail,0021500678,137,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,7,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,64,146,1,0,20160126,BKN,MIA
Shot Chart Detail,0021500702,116,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,9,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,0,20160129,DAL,BKN
Shot Chart Detail,0021500793,413,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,202,134,1,0,20160210,BKN,MEM
Shot Chart Detail,0021500858,450,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,10,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-209,144,1,1,20160225,PHX,BKN
Shot Chart Detail,0021500876,402,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,9,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,233,77,1,1,20160227,UTA,BKN
Shot Chart Detail,0021500876,435,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,6,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20160227,UTA,BKN
Shot Chart Detail,0021500876,443,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,5,38,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,0,20160227,UTA,BKN
Shot Chart Detail,0021500890,162,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,198,1,0,20160229,LAC,BKN
Shot Chart Detail,0021500896,150,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,8,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,27,244,1,0,20160301,LAL,BKN
Shot Chart Detail,0021500964,90,203508,Sergey Karasev,1610612751,Brooklyn Nets,1,2,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,199,-31,1,0,20160311,PHI,BKN
Shot Chart Detail,0021500964,154,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,8,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,140,198,1,1,20160311,PHI,BKN
Shot Chart Detail,0021500964,293,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,7,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,8,1,0,20160311,PHI,BKN
Shot Chart Detail,0021500964,299,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,6,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20160311,PHI,BKN
Shot Chart Detail,0021500964,304,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,5,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20160311,PHI,BKN
Shot Chart Detail,0021500985,79,203508,Sergey Karasev,1610612751,Brooklyn Nets,1,2,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,193,1,1,20160313,BKN,MIL
Shot Chart Detail,0021500985,119,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,11,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,11,1,0,20160313,BKN,MIL
Shot Chart Detail,0021500985,348,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,9,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-78,228,1,1,20160313,BKN,MIL
Shot Chart Detail,0021500999,288,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,1,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,12,239,1,0,20160315,BKN,PHI
Shot Chart Detail,0021501016,14,203508,Sergey Karasev,1610612751,Brooklyn Nets,1,9,31,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,21,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,194,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,5,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-86,139,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,244,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,193,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,267,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,11,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-15,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,277,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,9,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,26,1,1,20160317,CHI,BKN
Shot Chart Detail,0021501016,286,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,8,50,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,-21,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,354,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,1,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,144,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,376,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-42,218,1,1,20160317,CHI,BKN
Shot Chart Detail,0021501016,497,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,2,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,2,1,1,20160317,CHI,BKN
Shot Chart Detail,0021501016,506,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-16,1,0,20160317,CHI,BKN
Shot Chart Detail,0021501016,509,203508,Sergey Karasev,1610612751,Brooklyn Nets,4,0,57,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,1,20160317,CHI,BKN
Shot Chart Detail,0021501030,120,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,10,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20160319,DET,BKN
Shot Chart Detail,0021501069,21,203508,Sergey Karasev,1610612751,Brooklyn Nets,1,9,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,7,1,0,20160324,BKN,CLE
Shot Chart Detail,0021501069,237,203508,Sergey Karasev,1610612751,Brooklyn Nets,2,1,22,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,94,120,1,0,20160324,BKN,CLE
Shot Chart Detail,0021501069,272,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,9,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-107,224,1,1,20160324,BKN,CLE
Shot Chart Detail,0021501069,284,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,8,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,96,247,1,0,20160324,BKN,CLE
Shot Chart Detail,0021501069,311,203508,Sergey Karasev,1610612751,Brooklyn Nets,3,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,51,242,1,0,20160324,BKN,CLE
Shot Chart Detail,0021501082,25,203508,Sergey Karasev,1610612751,Brooklyn Nets,1,8,13,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20160326,BKN,IND
