GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21501071,494,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,2,8,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-145,208,1,1,20160324,1,OKC,UTA
Shot Chart Detail,21501110,117,203962,Josh Huestis,1610612760,Oklahoma City Thunder,2,11,40,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160329,1,DET,OKC
Shot Chart Detail,21501110,253,203962,Josh Huestis,1610612760,Oklahoma City Thunder,2,0,42,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,246,2,1,1,20160329,1,DET,OKC
Shot Chart Detail,21501110,338,203962,Josh Huestis,1610612760,Oklahoma City Thunder,3,3,53,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,35,-1,1,0,20160329,0,DET,OKC
Shot Chart Detail,21501171,469,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,9,16,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,2,1,0,20160406,0,POR,OKC
Shot Chart Detail,21501171,511,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,6,9,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,163,198,1,1,20160406,1,POR,OKC
Shot Chart Detail,21501171,514,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,5,40,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,134,1,1,20160406,1,POR,OKC
Shot Chart Detail,21501209,513,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,4,31,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-230,80,1,0,20160411,0,OKC,LAL
Shot Chart Detail,21501209,541,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,1,52,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,20,202,21,1,0,20160411,0,OKC,LAL
Shot Chart Detail,21501209,550,203962,Josh Huestis,1610612760,Oklahoma City Thunder,4,0,52,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,96,165,1,0,20160411,0,OKC,LAL
Shot Chart Detail,21501215,204,203962,Josh Huestis,1610612760,Oklahoma City Thunder,2,3,43,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),8-16 ft.,14,-38,144,1,0,20160412,0,SAS,OKC
Shot Chart Detail,21501215,239,203962,Josh Huestis,1610612760,Oklahoma City Thunder,2,0,0,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,41,1,0,20160412,0,SAS,OKC
