GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500010,34,201935,James Harden,1610612745,Houston Rockets,1,8,33,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,75,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,42,201935,James Harden,1610612745,Houston Rockets,1,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,137,200,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,72,201935,James Harden,1610612745,Houston Rockets,1,5,10,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-29,23,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,85,201935,James Harden,1610612745,Houston Rockets,1,3,33,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,129,201935,James Harden,1610612745,Houston Rockets,1,0,41,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20151028,0,HOU,DEN
Shot Chart Detail,21500010,216,201935,James Harden,1610612745,Houston Rockets,2,4,11,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,222,201935,James Harden,1610612745,Houston Rockets,2,3,52,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-187,190,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,236,201935,James Harden,1610612745,Houston Rockets,2,2,17,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-32,21,1,1,20151028,0,HOU,DEN
Shot Chart Detail,21500010,245,201935,James Harden,1610612745,Houston Rockets,2,1,32,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,25,69,244,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,251,201935,James Harden,1610612745,Houston Rockets,2,1,9,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,174,174,1,1,20151028,1,HOU,DEN
Shot Chart Detail,21500010,256,201935,James Harden,1610612745,Houston Rockets,2,0,1,Made Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,24,61,237,1,1,20151028,0,HOU,DEN
Shot Chart Detail,21500010,299,201935,James Harden,1610612745,Houston Rockets,3,7,39,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,57,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,315,201935,James Harden,1610612745,Houston Rockets,3,6,15,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,125,214,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,318,201935,James Harden,1610612745,Houston Rockets,3,5,58,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-17,2,1,1,20151028,0,HOU,DEN
Shot Chart Detail,21500010,351,201935,James Harden,1610612745,Houston Rockets,3,3,36,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-240,3,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,359,201935,James Harden,1610612745,Houston Rockets,3,3,4,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,48,247,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,382,201935,James Harden,1610612745,Houston Rockets,3,0,50,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,237,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,455,201935,James Harden,1610612745,Houston Rockets,4,6,11,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,130,239,1,0,20151028,0,HOU,DEN
Shot Chart Detail,21500010,491,201935,James Harden,1610612745,Houston Rockets,4,3,45,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,24,48,244,1,0,20151028,0,HOU,DEN
