GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500153,132,203524,Solomon Hill,1610612754,Indiana Pacers,2,9,58,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,11,-106,56,1,0,20151116,0,CHI,IND
Shot Chart Detail,21500153,146,203524,Solomon Hill,1610612754,Indiana Pacers,2,9,0,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,14,38,1,1,20151116,0,CHI,IND
Shot Chart Detail,21500153,187,203524,Solomon Hill,1610612754,Indiana Pacers,2,5,24,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-58,254,1,0,20151116,0,CHI,IND
Shot Chart Detail,21500153,205,203524,Solomon Hill,1610612754,Indiana Pacers,2,3,40,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,29,-174,232,1,0,20151116,0,CHI,IND
Shot Chart Detail,21500153,446,203524,Solomon Hill,1610612754,Indiana Pacers,4,10,56,Made Shot,Jump Bank Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,10,-4,106,1,1,20151116,0,CHI,IND
Shot Chart Detail,21500167,137,203524,Solomon Hill,1610612754,Indiana Pacers,2,10,19,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,52,1,0,20151118,0,PHI,IND
Shot Chart Detail,21500167,157,203524,Solomon Hill,1610612754,Indiana Pacers,2,8,35,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-19,57,1,0,20151118,0,PHI,IND
Shot Chart Detail,21500167,472,203524,Solomon Hill,1610612754,Indiana Pacers,4,4,25,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151118,0,PHI,IND
Shot Chart Detail,21500167,511,203524,Solomon Hill,1610612754,Indiana Pacers,4,1,37,Made Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-65,154,1,1,20151118,0,PHI,IND
Shot Chart Detail,21500167,525,203524,Solomon Hill,1610612754,Indiana Pacers,4,0,10,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-153,223,1,0,20151118,0,PHI,IND
Shot Chart Detail,21500190,475,203524,Solomon Hill,1610612754,Indiana Pacers,4,3,6,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,200,175,1,1,20151121,1,IND,MIL
Shot Chart Detail,21500231,416,203524,Solomon Hill,1610612754,Indiana Pacers,4,9,40,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-243,-19,1,0,20151127,0,IND,CHI
