GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500002,8,2200,Pau Gasol,1610612741,Chicago Bulls,1,10,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,68,178,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500002,180,2200,Pau Gasol,1610612741,Chicago Bulls,2,8,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-114,72,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500002,308,2200,Pau Gasol,1610612741,Chicago Bulls,3,9,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,148,75,1,1,20151027,CHI,CLE
Shot Chart Detail,0021500002,332,2200,Pau Gasol,1610612741,Chicago Bulls,3,7,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-7,174,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500002,356,2200,Pau Gasol,1610612741,Chicago Bulls,3,5,19,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-52,75,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500002,448,2200,Pau Gasol,1610612741,Chicago Bulls,4,8,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,61,203,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500002,451,2200,Pau Gasol,1610612741,Chicago Bulls,4,8,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,175,1,0,20151027,CHI,CLE
Shot Chart Detail,0021500006,24,2200,Pau Gasol,1610612741,Chicago Bulls,1,8,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-122,111,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,26,2200,Pau Gasol,1610612741,Chicago Bulls,1,7,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,69,160,1,0,20151028,BKN,CHI
Shot Chart Detail,0021500006,33,2200,Pau Gasol,1610612741,Chicago Bulls,1,6,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,105,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,137,2200,Pau Gasol,1610612741,Chicago Bulls,2,9,22,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,56,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,171,2200,Pau Gasol,1610612741,Chicago Bulls,2,5,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,2,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,177,2200,Pau Gasol,1610612741,Chicago Bulls,2,4,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,24,190,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,209,2200,Pau Gasol,1610612741,Chicago Bulls,2,2,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,9,188,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,216,2200,Pau Gasol,1610612741,Chicago Bulls,2,1,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,10,188,1,0,20151028,BKN,CHI
Shot Chart Detail,0021500006,251,2200,Pau Gasol,1610612741,Chicago Bulls,3,10,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,101,151,1,0,20151028,BKN,CHI
Shot Chart Detail,0021500006,499,2200,Pau Gasol,1610612741,Chicago Bulls,4,3,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,24,198,1,0,20151028,BKN,CHI
Shot Chart Detail,0021500006,526,2200,Pau Gasol,1610612741,Chicago Bulls,4,2,24,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,-6,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500025,4,2200,Pau Gasol,1610612741,Chicago Bulls,1,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,3,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,12,2200,Pau Gasol,1610612741,Chicago Bulls,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,3,1,0,20151030,DET,CHI
