GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500006,11,201961,Wayne Ellington,1610612751,Brooklyn Nets,1,10,27,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,143,200,1,0,20151028,0,BKN,CHI
Shot Chart Detail,21500006,253,201961,Wayne Ellington,1610612751,Brooklyn Nets,3,10,39,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,0,20151028,0,BKN,CHI
Shot Chart Detail,21500006,298,201961,Wayne Ellington,1610612751,Brooklyn Nets,3,7,11,Missed Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,19,-1,1,0,20151028,0,BKN,CHI
Shot Chart Detail,21500028,18,201961,Wayne Ellington,1610612751,Brooklyn Nets,1,9,0,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,227,11,1,0,20151030,0,SAS,BKN
Shot Chart Detail,21500028,53,201961,Wayne Ellington,1610612751,Brooklyn Nets,1,6,3,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-222,139,1,0,20151030,0,SAS,BKN
Shot Chart Detail,21500028,218,201961,Wayne Ellington,1610612751,Brooklyn Nets,2,1,45,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,0,20151030,0,SAS,BKN
Shot Chart Detail,21500028,246,201961,Wayne Ellington,1610612751,Brooklyn Nets,3,11,25,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,230,2,1,1,20151030,1,SAS,BKN
Shot Chart Detail,21500028,260,201961,Wayne Ellington,1610612751,Brooklyn Nets,3,8,28,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,232,-1,1,0,20151030,0,SAS,BKN
Shot Chart Detail,21500028,435,201961,Wayne Ellington,1610612751,Brooklyn Nets,4,5,10,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,22,24,223,1,0,20151030,0,SAS,BKN
Shot Chart Detail,21500036,347,201961,Wayne Ellington,1610612751,Brooklyn Nets,3,2,19,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,236,-31,1,1,20151031,1,MEM,BKN
