GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500030,10,2730,Dwight Howard,1610612745,Houston Rockets,1,11,9,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20151030,1,HOU,GSW
Shot Chart Detail,21500030,30,2730,Dwight Howard,1610612745,Houston Rockets,1,9,32,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,32,2730,Dwight Howard,1610612745,Houston Rockets,1,9,29,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-15,14,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,162,2730,Dwight Howard,1610612745,Houston Rockets,2,11,42,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,170,2730,Dwight Howard,1610612745,Houston Rockets,2,11,5,Made Shot,Turnaround Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-79,2,1,1,20151030,0,HOU,GSW
Shot Chart Detail,21500030,177,2730,Dwight Howard,1610612745,Houston Rockets,2,10,4,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-32,7,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,357,2730,Dwight Howard,1610612745,Houston Rockets,3,7,36,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,1,20151030,1,HOU,GSW
Shot Chart Detail,21500030,422,2730,Dwight Howard,1610612745,Houston Rockets,3,1,26,Missed Shot,Turnaround Bank Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,23,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,442,2730,Dwight Howard,1610612745,Houston Rockets,4,11,15,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,28,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,458,2730,Dwight Howard,1610612745,Houston Rockets,4,10,0,Missed Shot,Turnaround Hook Shot,,Mid-Range,Right Side(R),8-16 ft.,8,86,7,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,462,2730,Dwight Howard,1610612745,Houston Rockets,4,9,31,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,1,HOU,GSW
Shot Chart Detail,21500049,13,2730,Dwight Howard,1610612745,Houston Rockets,1,9,47,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-20,61,1,0,20151102,0,HOU,OKC
Shot Chart Detail,21500049,28,2730,Dwight Howard,1610612745,Houston Rockets,1,8,36,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,10,33,1,0,20151102,0,HOU,OKC
Shot Chart Detail,21500049,35,2730,Dwight Howard,1610612745,Houston Rockets,1,7,36,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,9,31,1,0,20151102,0,HOU,OKC
