GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500043,167,101112,Channing Frye,1610612753,Orlando Magic,2,8,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,104,223,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500043,176,101112,Channing Frye,1610612753,Orlando Magic,2,7,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,213,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500075,133,101112,Channing Frye,1610612753,Orlando Magic,1,2,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,105,242,1,0,20151106,ORL,TOR
Shot Chart Detail,0021500075,136,101112,Channing Frye,1610612753,Orlando Magic,1,1,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,7,1,1,20151106,ORL,TOR
Shot Chart Detail,0021500075,170,101112,Channing Frye,1610612753,Orlando Magic,2,10,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-74,178,1,1,20151106,ORL,TOR
Shot Chart Detail,0021500075,475,101112,Channing Frye,1610612753,Orlando Magic,4,7,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-9,273,1,0,20151106,ORL,TOR
Shot Chart Detail,0021500099,93,101112,Channing Frye,1610612753,Orlando Magic,1,3,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,133,223,1,0,20151109,IND,ORL
Shot Chart Detail,0021500099,112,101112,Channing Frye,1610612753,Orlando Magic,1,1,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,1,20151109,IND,ORL
Shot Chart Detail,0021500099,118,101112,Channing Frye,1610612753,Orlando Magic,1,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1,267,1,1,20151109,IND,ORL
Shot Chart Detail,0021500099,134,101112,Channing Frye,1610612753,Orlando Magic,2,10,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-92,232,1,1,20151109,IND,ORL
Shot Chart Detail,0021500099,143,101112,Channing Frye,1610612753,Orlando Magic,2,8,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-5,1,0,20151109,IND,ORL
Shot Chart Detail,0021500099,160,101112,Channing Frye,1610612753,Orlando Magic,2,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,252,1,0,20151109,IND,ORL
Shot Chart Detail,0021500099,337,101112,Channing Frye,1610612753,Orlando Magic,3,2,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,-1,1,1,20151109,IND,ORL
Shot Chart Detail,0021500099,359,101112,Channing Frye,1610612753,Orlando Magic,3,0,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,195,156,1,0,20151109,IND,ORL
Shot Chart Detail,0021500099,366,101112,Channing Frye,1610612753,Orlando Magic,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-197,178,1,0,20151109,IND,ORL
Shot Chart Detail,0021500099,427,101112,Channing Frye,1610612753,Orlando Magic,4,7,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-14,252,1,1,20151109,IND,ORL
Shot Chart Detail,0021500114,158,101112,Channing Frye,1610612753,Orlando Magic,2,8,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,68,232,1,1,20151111,ORL,LAL
Shot Chart Detail,0021500114,177,101112,Channing Frye,1610612753,Orlando Magic,2,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,163,183,1,1,20151111,ORL,LAL
Shot Chart Detail,0021500114,192,101112,Channing Frye,1610612753,Orlando Magic,2,4,31,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-14,36,1,1,20151111,ORL,LAL
Shot Chart Detail,0021500114,239,101112,Channing Frye,1610612753,Orlando Magic,2,0,40,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,0,20151111,ORL,LAL
Shot Chart Detail,0021500114,241,101112,Channing Frye,1610612753,Orlando Magic,2,0,39,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,20151111,ORL,LAL
