GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500023,528,203187,Chris Johnson,1610612762,Utah Jazz,4,2,22,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,18,1,0,20151030,PHI,UTA
Shot Chart Detail,0021500023,529,203187,Chris Johnson,1610612762,Utah Jazz,4,2,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20151030,PHI,UTA
Shot Chart Detail,0021500068,574,203187,Chris Johnson,1610612762,Utah Jazz,4,0,18,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,2,1,0,20151104,UTA,POR
Shot Chart Detail,0021500073,85,203187,Chris Johnson,1610612762,Utah Jazz,1,3,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,160,1,0,20151105,DEN,UTA
Shot Chart Detail,0021500073,103,203187,Chris Johnson,1610612762,Utah Jazz,1,1,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-5,1,1,20151105,DEN,UTA
Shot Chart Detail,0021500106,396,203187,Chris Johnson,1610612762,Utah Jazz,3,1,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,7,1,1,20151110,CLE,UTA
Shot Chart Detail,0021500128,141,203187,Chris Johnson,1610612762,Utah Jazz,2,9,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,154,203187,Chris Johnson,1610612762,Utah Jazz,2,9,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-25,85,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,271,203187,Chris Johnson,1610612762,Utah Jazz,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,200,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,369,203187,Chris Johnson,1610612762,Utah Jazz,3,3,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,28,1,1,20151113,ORL,UTA
Shot Chart Detail,0021500128,414,203187,Chris Johnson,1610612762,Utah Jazz,3,0,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,96,105,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,424,203187,Chris Johnson,1610612762,Utah Jazz,4,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,200,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,442,203187,Chris Johnson,1610612762,Utah Jazz,4,9,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500128,484,203187,Chris Johnson,1610612762,Utah Jazz,4,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-151,224,1,0,20151113,ORL,UTA
Shot Chart Detail,0021500208,488,203187,Chris Johnson,1610612762,Utah Jazz,4,3,52,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,-11,1,0,20151123,UTA,OKC
Shot Chart Detail,0021500208,501,203187,Chris Johnson,1610612762,Utah Jazz,4,2,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,188,1,1,20151123,UTA,OKC
Shot Chart Detail,0021500208,520,203187,Chris Johnson,1610612762,Utah Jazz,4,1,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,2,1,1,20151123,UTA,OKC
Shot Chart Detail,0021500226,178,203187,Chris Johnson,1610612762,Utah Jazz,2,6,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-1,1,0,20151125,LAC,UTA
Shot Chart Detail,0021500226,236,203187,Chris Johnson,1610612762,Utah Jazz,2,1,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-104,80,1,0,20151125,LAC,UTA
Shot Chart Detail,0021500279,170,203187,Chris Johnson,1610612762,Utah Jazz,2,7,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-16,1,0,20151203,UTA,ORL
Shot Chart Detail,0021500364,442,203187,Chris Johnson,1610612762,Utah Jazz,4,5,53,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-6,1,0,20151214,SAS,UTA
Shot Chart Detail,0021500364,445,203187,Chris Johnson,1610612762,Utah Jazz,4,5,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,9,1,0,20151214,SAS,UTA
Shot Chart Detail,0021500364,451,203187,Chris Johnson,1610612762,Utah Jazz,4,4,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,8,1,1,20151214,SAS,UTA
