GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500017,130,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,11,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,-1,1,0,20151028,LAL,MIN
Shot Chart Detail,0021500017,185,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,6,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,1,20151028,LAL,MIN
Shot Chart Detail,0021500017,454,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,11,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,0,20151028,LAL,MIN
Shot Chart Detail,0021500017,470,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,10,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,32,97,1,0,20151028,LAL,MIN
Shot Chart Detail,0021500031,163,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,10,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,72,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,200,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,8,8,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-4,1,0,20151030,SAC,LAL
Shot Chart Detail,0021500031,490,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,8,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,539,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,4,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-148,72,1,0,20151030,SAC,LAL
Shot Chart Detail,0021500045,129,101138,Brandon Bass,1610612747,Los Angeles Lakers,1,0,27,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,LAL,DAL
Shot Chart Detail,0021500045,144,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,10,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,0,20151101,LAL,DAL
Shot Chart Detail,0021500045,161,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,8,57,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,LAL,DAL
Shot Chart Detail,0021500045,375,101138,Brandon Bass,1610612747,Los Angeles Lakers,3,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,4,149,1,0,20151101,LAL,DAL
Shot Chart Detail,0021500045,433,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,9,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,LAL,DAL
Shot Chart Detail,0021500045,464,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,6,29,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,LAL,DAL
Shot Chart Detail,0021500059,76,101138,Brandon Bass,1610612747,Los Angeles Lakers,1,5,46,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20151103,LAL,DEN
Shot Chart Detail,0021500059,172,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,9,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,0,20151103,LAL,DEN
Shot Chart Detail,0021500059,177,101138,Brandon Bass,1610612747,Los Angeles Lakers,2,9,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,0,20151103,LAL,DEN
Shot Chart Detail,0021500059,447,101138,Brandon Bass,1610612747,Los Angeles Lakers,4,11,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20151103,LAL,DEN
