GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500347,469,204002,Edy Tavares,1610612737,Atlanta Hawks,4,6,20,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151212,1,ATL,SAS
Shot Chart Detail,21500347,483,204002,Edy Tavares,1610612737,Atlanta Hawks,4,4,35,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,-43,169,1,0,20151212,0,ATL,SAS
Shot Chart Detail,21500347,505,204002,Edy Tavares,1610612737,Atlanta Hawks,4,1,45,Missed Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,0,20151212,0,ATL,SAS
Shot Chart Detail,21500470,83,204002,Edy Tavares,1610612737,Atlanta Hawks,1,5,38,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20151229,1,HOU,ATL
Shot Chart Detail,21500470,221,204002,Edy Tavares,1610612737,Atlanta Hawks,2,3,56,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,0,20151229,0,HOU,ATL
Shot Chart Detail,21500470,222,204002,Edy Tavares,1610612737,Atlanta Hawks,2,3,55,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20151229,0,HOU,ATL
Shot Chart Detail,21500470,248,204002,Edy Tavares,1610612737,Atlanta Hawks,2,1,26,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,0,20151229,0,HOU,ATL
Shot Chart Detail,21500470,250,204002,Edy Tavares,1610612737,Atlanta Hawks,2,1,21,Made Shot,Hook Shot,,Mid-Range,Right Side(R),8-16 ft.,9,82,38,1,1,20151229,0,HOU,ATL
Shot Chart Detail,21500506,67,204002,Edy Tavares,1610612737,Atlanta Hawks,1,4,1,Missed Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,0,20160103,0,NYK,ATL
Shot Chart Detail,21500506,200,204002,Edy Tavares,1610612737,Atlanta Hawks,3,3,44,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160103,1,NYK,ATL
Shot Chart Detail,21500506,204,204002,Edy Tavares,1610612737,Atlanta Hawks,3,3,10,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,0,20160103,0,NYK,ATL
Shot Chart Detail,21500506,342,204002,Edy Tavares,1610612737,Atlanta Hawks,4,1,34,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-9,28,1,1,20160103,1,NYK,ATL
Shot Chart Detail,21500521,62,204002,Edy Tavares,1610612737,Atlanta Hawks,1,4,38,Made Shot,Tip Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160105,0,ATL,NYK
Shot Chart Detail,21500521,214,204002,Edy Tavares,1610612737,Atlanta Hawks,2,6,47,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20160105,1,ATL,NYK
Shot Chart Detail,21500521,229,204002,Edy Tavares,1610612737,Atlanta Hawks,2,4,58,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,31,1,0,20160105,0,ATL,NYK
Shot Chart Detail,21500736,455,204002,Edy Tavares,1610612737,Atlanta Hawks,4,7,54,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160203,1,PHI,ATL
Shot Chart Detail,21500736,475,204002,Edy Tavares,1610612737,Atlanta Hawks,4,6,15,Made Shot,Putback Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160203,0,PHI,ATL
Shot Chart Detail,21500736,506,204002,Edy Tavares,1610612737,Atlanta Hawks,4,2,55,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,114,11,1,0,20160203,0,PHI,ATL
Shot Chart Detail,21500921,510,204002,Edy Tavares,1610612737,Atlanta Hawks,4,2,26,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20160304,1,LAL,ATL
