GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500097,600,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,20,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-137,203,1,0,20151108,0,OKC,PHX
Shot Chart Detail,21500107,540,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,2,34,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,1,20151110,0,WAS,OKC
Shot Chart Detail,21500107,557,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,105,244,1,0,20151110,0,WAS,OKC
Shot Chart Detail,21500107,560,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,-6,1,0,20151110,0,WAS,OKC
Shot Chart Detail,21500149,587,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,164,200,1,0,20151115,0,OKC,BOS
Shot Chart Detail,21500155,176,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,7,50,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,0,20151116,0,MEM,OKC
Shot Chart Detail,21500155,416,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,3,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,223,1,1,20151116,1,MEM,OKC
Shot Chart Detail,21500199,154,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,8,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-142,85,1,1,20151122,0,OKC,DAL
Shot Chart Detail,21500199,162,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,6,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,127,210,1,0,20151122,0,OKC,DAL
Shot Chart Detail,21500199,189,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,4,28,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-73,36,1,0,20151122,0,OKC,DAL
Shot Chart Detail,21500208,518,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,1,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,181,70,1,0,20151123,0,UTA,OKC
Shot Chart Detail,21500208,531,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,54,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,51,1,0,20151123,0,UTA,OKC
Shot Chart Detail,21500303,103,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,1,1,20,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-61,234,1,1,20151206,0,OKC,SAC
Shot Chart Detail,21500303,126,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,11,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,128,-6,1,0,20151206,0,OKC,SAC
Shot Chart Detail,21500303,151,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,2,9,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,7,1,0,20151206,0,OKC,SAC
Shot Chart Detail,21500316,444,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,5,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-19,1,1,20151208,1,MEM,OKC
Shot Chart Detail,21500316,462,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,3,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,174,1,0,20151208,0,MEM,OKC
Shot Chart Detail,21500316,482,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,1,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20151208,1,MEM,OKC
Shot Chart Detail,21500378,572,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,1,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-165,75,1,1,20151216,0,OKC,POR
Shot Chart Detail,21500378,585,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,18,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,7,1,0,20151216,0,OKC,POR
Shot Chart Detail,21500398,466,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,5,4,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,18,1,1,20151219,0,OKC,LAL
Shot Chart Detail,21500398,468,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20151219,0,OKC,LAL
Shot Chart Detail,21500398,482,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,2,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20151219,1,OKC,LAL
Shot Chart Detail,21500398,497,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,0,52,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,38,1,0,20151219,0,OKC,LAL
Shot Chart Detail,21500435,464,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,6,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,0,20151223,0,LAL,OKC
Shot Chart Detail,21500435,473,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,5,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-102,223,1,1,20151223,0,LAL,OKC
Shot Chart Detail,21500435,478,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,4,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,220,131,1,0,20151223,0,LAL,OKC
Shot Chart Detail,21500435,488,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,3,35,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,14,106,1,1,20151223,0,LAL,OKC
Shot Chart Detail,21500435,490,1626166,Cameron Payne,1610612760,Oklahoma City Thunder,4,2,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,35,150,327,1,0,20151223,0,LAL,OKC
