GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500003,412,2733,Shaun Livingston,1610612744,Golden State Warriors,3,2,39,Made Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,68,110,1,1,20151027,0,GSW,NOP
Shot Chart Detail,21500003,448,2733,Shaun Livingston,1610612744,Golden State Warriors,3,0,21,Made Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,14,-70,126,1,1,20151027,1,GSW,NOP
Shot Chart Detail,21500003,451,2733,Shaun Livingston,1610612744,Golden State Warriors,3,0,0,Missed Shot,Jump Shot,,Backcourt,Back Court(BC),Back Court Shot,51,181,477,1,0,20151027,0,GSW,NOP
Shot Chart Detail,21500003,509,2733,Shaun Livingston,1610612744,Golden State Warriors,4,6,47,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,101,72,1,0,20151027,0,GSW,NOP
Shot Chart Detail,21500003,521,2733,Shaun Livingston,1610612744,Golden State Warriors,4,5,42,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,10,244,1,0,20151027,0,GSW,NOP
Shot Chart Detail,21500003,566,2733,Shaun Livingston,1610612744,Golden State Warriors,4,1,31,Made Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-114,105,1,1,20151027,0,GSW,NOP
Shot Chart Detail,21500030,113,2733,Shaun Livingston,1610612744,Golden State Warriors,1,3,32,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-32,7,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,167,2733,Shaun Livingston,1610612744,Golden State Warriors,2,11,27,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,31,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500030,377,2733,Shaun Livingston,1610612744,Golden State Warriors,3,5,25,Missed Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,0,HOU,GSW
Shot Chart Detail,21500035,135,2733,Shaun Livingston,1610612744,Golden State Warriors,1,0,25,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,138,21,1,0,20151031,0,NOP,GSW
