GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500005,14,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,1,10,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-138,219,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,28,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,1,9,22,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,90,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,1,2,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-17,247,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,188,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,2,7,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,197,223,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,236,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,2,2,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,23,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,238,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,2,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,263,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,2,1,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,274,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,2,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-78,242,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,321,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,3,9,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,247,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,353,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,3,6,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-148,254,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,366,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,3,5,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,208,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,369,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,3,4,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-142,239,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,421,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,3,0,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,8,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,456,203477,Isaiah Canaan,1610612755,Philadelphia 76ers,4,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,58,239,1,0,20151028,BOS,PHI
