GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500005,163,202323,Evan Turner,1610612738,Boston Celtics,2,8,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,82,90,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,194,202323,Evan Turner,1610612738,Boston Celtics,2,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,31,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,235,202323,Evan Turner,1610612738,Boston Celtics,2,3,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-109,129,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,390,202323,Evan Turner,1610612738,Boston Celtics,3,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,217,149,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500005,458,202323,Evan Turner,1610612738,Boston Celtics,4,8,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,148,21,1,0,20151028,BOS,PHI
Shot Chart Detail,0021500024,126,202323,Evan Turner,1610612738,Boston Celtics,1,1,34,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,151,202323,Evan Turner,1610612738,Boston Celtics,1,0,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-74,139,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,196,202323,Evan Turner,1610612738,Boston Celtics,2,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,-11,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,441,202323,Evan Turner,1610612738,Boston Celtics,3,3,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,79,249,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,478,202323,Evan Turner,1610612738,Boston Celtics,3,1,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,495,202323,Evan Turner,1610612738,Boston Celtics,3,0,2,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,61,47,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,505,202323,Evan Turner,1610612738,Boston Celtics,4,11,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,137,-16,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,510,202323,Evan Turner,1610612738,Boston Celtics,4,10,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,61,154,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,541,202323,Evan Turner,1610612738,Boston Celtics,4,6,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,55,38,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,545,202323,Evan Turner,1610612738,Boston Celtics,4,6,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,68,57,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500024,646,202323,Evan Turner,1610612738,Boston Celtics,4,0,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,10,154,1,0,20151030,BOS,TOR
Shot Chart Detail,0021500040,81,202323,Evan Turner,1610612738,Boston Celtics,1,3,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,16,1,0,20151101,BOS,SAS
Shot Chart Detail,0021500040,100,202323,Evan Turner,1610612738,Boston Celtics,1,1,43,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,28,52,1,0,20151101,BOS,SAS
Shot Chart Detail,0021500040,407,202323,Evan Turner,1610612738,Boston Celtics,3,2,38,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,-6,1,0,20151101,BOS,SAS
Shot Chart Detail,0021500040,604,202323,Evan Turner,1610612738,Boston Celtics,4,0,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500060,118,202323,Evan Turner,1610612738,Boston Celtics,1,0,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-11,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,183,202323,Evan Turner,1610612738,Boston Celtics,2,7,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,82,144,1,0,20151104,IND,BOS
Shot Chart Detail,0021500060,198,202323,Evan Turner,1610612738,Boston Celtics,2,6,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,170,1,0,20151104,IND,BOS
Shot Chart Detail,0021500060,403,202323,Evan Turner,1610612738,Boston Celtics,3,3,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,-15,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,410,202323,Evan Turner,1610612738,Boston Celtics,3,1,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-1,164,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,426,202323,Evan Turner,1610612738,Boston Celtics,3,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,115,61,1,0,20151104,IND,BOS
