GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500016,19,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,9,32,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,19,-176,80,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,51,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,6,43,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-25,252,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,54,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,6,17,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,117,218,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,58,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,5,53,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,27,14,1,1,20151028,0,SAC,LAC
Shot Chart Detail,21500016,155,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,9,25,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-25,26,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,166,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,8,36,Missed Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,30,11,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,179,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,7,34,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,226,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,5,20,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20151028,0,SAC,LAC
Shot Chart Detail,21500016,229,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,4,41,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,41,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,235,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,4,9,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,33,252,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,312,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,11,14,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,3,14,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,319,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,10,8,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,57,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,322,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,9,33,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-19,247,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,326,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,9,1,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,200,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,343,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,7,34,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,384,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,5,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,20,21,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,395,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,5,2,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,33,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500016,478,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,9,28,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,1,20151028,0,SAC,LAC
Shot Chart Detail,21500016,481,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,9,1,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,542,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,3,10,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,1,SAC,LAC
Shot Chart Detail,21500016,563,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,0,23,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-156,43,1,0,20151028,0,SAC,LAC
Shot Chart Detail,21500031,22,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,9,22,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-58,239,1,0,20151030,0,SAC,LAL
Shot Chart Detail,21500031,56,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,7,5,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,0,20151030,0,SAC,LAL
Shot Chart Detail,21500031,57,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,7,4,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20151030,0,SAC,LAL
Shot Chart Detail,21500031,91,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,3,58,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151030,1,SAC,LAL
Shot Chart Detail,21500031,236,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,5,3,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-97,178,1,0,20151030,0,SAC,LAL
Shot Chart Detail,21500031,249,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,3,55,Missed Shot,Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-37,13,1,0,20151030,0,SAC,LAL
Shot Chart Detail,21500031,282,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,1,44,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20151030,1,SAC,LAL
Shot Chart Detail,21500031,323,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,11,45,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-42,247,1,0,20151030,0,SAC,LAL
