GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21500001,56,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,6,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-1,1,0,20151027,0,ATL,DET
Shot Chart Detail,21500001,84,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,3,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,158,111,1,0,20151027,0,ATL,DET
Shot Chart Detail,21500001,89,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,3,14,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20151027,0,ATL,DET
Shot Chart Detail,21500026,113,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,1,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,0,20151030,0,ATL,CHA
Shot Chart Detail,21500026,165,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,9,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-65,160,1,1,20151030,1,ATL,CHA
Shot Chart Detail,21500026,168,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,9,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,0,20151030,0,ATL,CHA
Shot Chart Detail,21500026,244,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,3,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,1,20151030,1,ATL,CHA
Shot Chart Detail,21500039,77,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,1,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-168,36,1,0,20151101,0,CHA,ATL
Shot Chart Detail,21500039,82,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,1,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,31,1,1,20151101,1,CHA,ATL
Shot Chart Detail,21500039,207,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,0,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,0,20151101,0,CHA,ATL
Shot Chart Detail,21500039,350,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,3,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-212,41,1,1,20151101,1,CHA,ATL
Shot Chart Detail,21500039,360,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,4,11,30,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151101,0,CHA,ATL
Shot Chart Detail,21500062,130,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,11,1,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,115,1,0,20151104,0,ATL,BKN
Shot Chart Detail,21500062,144,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,2,9,5,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-5,1,0,20151104,0,ATL,BKN
Shot Chart Detail,21500062,377,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,3,0,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,81,232,1,1,20151104,1,ATL,BKN
Shot Chart Detail,21500062,419,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,4,8,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,122,7,1,1,20151104,1,ATL,BKN
Shot Chart Detail,21500086,92,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,1,2,51,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-178,90,1,1,20151107,0,ATL,WAS
Shot Chart Detail,21500086,320,200757,Thabo Sefolosha,1610612737,Atlanta Hawks,3,5,48,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20151107,1,ATL,WAS
