GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500013,128,2561,David West,1610612759,San Antonio Spurs,1,0,7,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,138,2561,David West,1610612759,San Antonio Spurs,2,11,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,35,183,1,0,20151028,OKC,SAS
Shot Chart Detail,0021500013,152,2561,David West,1610612759,San Antonio Spurs,2,10,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,60,41,1,0,20151028,OKC,SAS
Shot Chart Detail,0021500013,160,2561,David West,1610612759,San Antonio Spurs,2,8,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,0,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,374,2561,David West,1610612759,San Antonio Spurs,3,0,41,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-37,100,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,381,2561,David West,1610612759,San Antonio Spurs,3,0,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-66,156,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,439,2561,David West,1610612759,San Antonio Spurs,4,8,3,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,11,1,0,20151028,OKC,SAS
Shot Chart Detail,0021500028,95,2561,David West,1610612759,San Antonio Spurs,1,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,58,154,1,0,20151030,SAS,BKN
Shot Chart Detail,0021500028,126,2561,David West,1610612759,San Antonio Spurs,2,9,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,0,20151030,SAS,BKN
Shot Chart Detail,0021500028,135,2561,David West,1610612759,San Antonio Spurs,2,8,10,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-42,51,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500028,465,2561,David West,1610612759,San Antonio Spurs,4,2,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,50,47,1,0,20151030,SAS,BKN
Shot Chart Detail,0021500040,484,2561,David West,1610612759,San Antonio Spurs,4,8,46,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,41,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500048,192,2561,David West,1610612759,San Antonio Spurs,2,4,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20151102,NYK,SAS
