GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000015,10,203897,Zach LaVine,1610612741,Chicago Bulls,1,11,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-180,53,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,30,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,32,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,17,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,35,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,217,122,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,86,203897,Zach LaVine,1610612741,Chicago Bulls,1,5,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-9,221,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,92,203897,Zach LaVine,1610612741,Chicago Bulls,1,5,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-5,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,202,203897,Zach LaVine,1610612741,Chicago Bulls,2,10,25,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,-1,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,206,203897,Zach LaVine,1610612741,Chicago Bulls,2,10,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-102,188,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,213,203897,Zach LaVine,1610612741,Chicago Bulls,2,9,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-222,89,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,217,203897,Zach LaVine,1610612741,Chicago Bulls,2,8,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,17,253,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,237,203897,Zach LaVine,1610612741,Chicago Bulls,2,7,37,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,24,55,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,249,203897,Zach LaVine,1610612741,Chicago Bulls,2,6,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-51,241,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,281,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,4,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,349,203897,Zach LaVine,1610612741,Chicago Bulls,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-152,267,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,379,203897,Zach LaVine,1610612741,Chicago Bulls,3,10,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-16,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,493,203897,Zach LaVine,1610612741,Chicago Bulls,3,3,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,5,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,524,203897,Zach LaVine,1610612741,Chicago Bulls,3,1,32,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-88,243,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000015,538,203897,Zach LaVine,1610612741,Chicago Bulls,3,0,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,575,203897,Zach LaVine,1610612741,Chicago Bulls,4,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,215,1,0,20201223,CHI,ATL
Shot Chart Detail,0022000026,19,203897,Zach LaVine,1610612741,Chicago Bulls,1,10,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,22,1,0,20201226,CHI,IND
Shot Chart Detail,0022000026,95,203897,Zach LaVine,1610612741,Chicago Bulls,1,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,72,243,1,0,20201226,CHI,IND
Shot Chart Detail,0022000026,121,203897,Zach LaVine,1610612741,Chicago Bulls,1,3,7,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,1,20201226,CHI,IND
Shot Chart Detail,0022000026,281,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,115,235,1,0,20201226,CHI,IND
Shot Chart Detail,0022000026,354,203897,Zach LaVine,1610612741,Chicago Bulls,2,0,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,3,1,1,20201226,CHI,IND
Shot Chart Detail,0022000026,357,203897,Zach LaVine,1610612741,Chicago Bulls,2,0,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,193,1,1,20201226,CHI,IND
Shot Chart Detail,0022000026,386,203897,Zach LaVine,1610612741,Chicago Bulls,3,10,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,0,20201226,CHI,IND
