GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22000004,71,101108,Chris Paul,1610612756,Phoenix Suns,1,7,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,101,97,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,165,101108,Chris Paul,1610612756,Phoenix Suns,1,0,59,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,91,54,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,182,101108,Chris Paul,1610612756,Phoenix Suns,1,0,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-14,265,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,202,101108,Chris Paul,1610612756,Phoenix Suns,2,10,36,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,20,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,330,101108,Chris Paul,1610612756,Phoenix Suns,2,1,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,162,1,1,20201223,0,PHX,DAL
Shot Chart Detail,22000004,378,101108,Chris Paul,1610612756,Phoenix Suns,3,9,33,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,67,106,1,1,20201223,0,PHX,DAL
Shot Chart Detail,22000004,392,101108,Chris Paul,1610612756,Phoenix Suns,3,8,4,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-21,125,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,609,101108,Chris Paul,1610612756,Phoenix Suns,4,3,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-4,1,0,20201223,0,PHX,DAL
Shot Chart Detail,22000004,644,101108,Chris Paul,1610612756,Phoenix Suns,4,1,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,88,122,1,1,20201223,0,PHX,DAL
Shot Chart Detail,22000030,15,101108,Chris Paul,1610612756,Phoenix Suns,1,10,55,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,27,1,0,20201226,0,SAC,PHX
Shot Chart Detail,22000030,41,101108,Chris Paul,1610612756,Phoenix Suns,1,8,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-156,193,1,0,20201226,0,SAC,PHX
Shot Chart Detail,22000030,83,101108,Chris Paul,1610612756,Phoenix Suns,1,5,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-162,185,1,1,20201226,1,SAC,PHX
Shot Chart Detail,22000030,98,101108,Chris Paul,1610612756,Phoenix Suns,1,4,10,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,0,20201226,0,SAC,PHX
Shot Chart Detail,22000030,198,101108,Chris Paul,1610612756,Phoenix Suns,2,9,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,6,153,1,1,20201226,0,SAC,PHX
Shot Chart Detail,22000030,211,101108,Chris Paul,1610612756,Phoenix Suns,2,8,46,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-32,64,1,1,20201226,0,SAC,PHX
Shot Chart Detail,22000030,227,101108,Chris Paul,1610612756,Phoenix Suns,2,7,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,0,1,0,20201226,0,SAC,PHX
