GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22000020,114,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,3,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-38,194,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,135,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,2,38,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,24,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,153,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,0,41,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,134,10,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,171,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,11,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-74,71,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,199,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,8,14,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,14,199,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,410,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,3,4,39,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20201223,1,POR,UTA
Shot Chart Detail,22000020,441,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,3,2,30,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,79,6,1,1,20201223,0,POR,UTA
Shot Chart Detail,22000020,452,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,3,1,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,180,89,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,476,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,11,41,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,116,5,1,1,20201223,0,POR,UTA
Shot Chart Detail,22000020,478,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,11,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,31,1,0,20201223,0,POR,UTA
Shot Chart Detail,22000020,528,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,7,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20201223,0,POR,UTA
Shot Chart Detail,22000020,566,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,5,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20201223,0,POR,UTA
Shot Chart Detail,22000029,114,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,2,13,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-55,86,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,118,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,1,56,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,185,1,1,20201226,1,POR,HOU
Shot Chart Detail,22000029,132,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,0,48,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-66,84,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,160,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,11,21,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,8,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,192,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,9,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,12,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,228,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,7,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,166,60,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,530,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,11,41,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-84,62,1,0,20201226,0,POR,HOU
Shot Chart Detail,22000029,548,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,10,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-27,180,1,1,20201226,1,POR,HOU
