GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21200035,383,201986,Nando De Colo,1610612759,San Antonio Spurs,4,9,38,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-226,6,1,0,20121103,0,SAS,UTA
Shot Chart Detail,21200047,472,201986,Nando De Colo,1610612759,San Antonio Spurs,4,1,54,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,19,-24,192,1,0,20121105,0,SAS,IND
Shot Chart Detail,21200047,487,201986,Nando De Colo,1610612759,San Antonio Spurs,4,0,27,Missed Shot,Running Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,9,-89,14,1,0,20121105,0,SAS,IND
Shot Chart Detail,21200064,400,201986,Nando De Colo,1610612759,San Antonio Spurs,4,5,35,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,20,200,0,1,0,20121107,0,LAC,SAS
Shot Chart Detail,21200064,448,201986,Nando De Colo,1610612759,San Antonio Spurs,4,2,3,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,44,1,0,20121107,0,LAC,SAS
Shot Chart Detail,21200064,464,201986,Nando De Colo,1610612759,San Antonio Spurs,4,0,44,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,236,6,1,1,20121107,1,LAC,SAS
Shot Chart Detail,21200137,155,201986,Nando De Colo,1610612759,San Antonio Spurs,2,9,29,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,9,246,1,0,20121117,0,SAS,DEN
Shot Chart Detail,21200137,497,201986,Nando De Colo,1610612759,San Antonio Spurs,4,2,36,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,140,22,1,0,20121117,0,SAS,DEN
Shot Chart Detail,21200137,504,201986,Nando De Colo,1610612759,San Antonio Spurs,4,1,59,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,138,213,1,1,20121117,1,SAS,DEN
Shot Chart Detail,21200152,183,201986,Nando De Colo,1610612759,San Antonio Spurs,2,7,20,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,14,17,149,1,0,20121119,0,SAS,LAC
Shot Chart Detail,21200161,328,201986,Nando De Colo,1610612759,San Antonio Spurs,3,1,22,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,242,15,1,0,20121121,0,BOS,SAS
Shot Chart Detail,21200176,114,201986,Nando De Colo,1610612759,San Antonio Spurs,1,0,0,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,12,156,1,0,20121123,0,IND,SAS
Shot Chart Detail,21200176,121,201986,Nando De Colo,1610612759,San Antonio Spurs,2,11,32,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,241,28,1,0,20121123,0,IND,SAS
Shot Chart Detail,21200197,324,201986,Nando De Colo,1610612759,San Antonio Spurs,3,3,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,165,173,1,0,20121126,0,WAS,SAS
Shot Chart Detail,21200197,410,201986,Nando De Colo,1610612759,San Antonio Spurs,4,8,19,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,192,-16,1,0,20121126,0,WAS,SAS
Shot Chart Detail,21200197,473,201986,Nando De Colo,1610612759,San Antonio Spurs,4,2,13,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,28,200,201,1,1,20121126,0,WAS,SAS
Shot Chart Detail,21200210,94,201986,Nando De Colo,1610612759,San Antonio Spurs,1,1,27,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,127,230,1,0,20121128,0,ORL,SAS
Shot Chart Detail,21200210,117,201986,Nando De Colo,1610612759,San Antonio Spurs,2,11,13,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-98,97,1,0,20121128,0,ORL,SAS
Shot Chart Detail,21200210,131,201986,Nando De Colo,1610612759,San Antonio Spurs,2,10,6,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-19,246,1,0,20121128,0,ORL,SAS
Shot Chart Detail,21200210,135,201986,Nando De Colo,1610612759,San Antonio Spurs,2,9,47,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,1,22,1,1,20121128,1,ORL,SAS
Shot Chart Detail,21200210,394,201986,Nando De Colo,1610612759,San Antonio Spurs,4,9,51,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-239,36,1,0,20121128,0,ORL,SAS
Shot Chart Detail,21200210,475,201986,Nando De Colo,1610612759,San Antonio Spurs,4,3,0,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,1,20121128,0,ORL,SAS
Shot Chart Detail,21200220,178,201986,Nando De Colo,1610612759,San Antonio Spurs,2,4,41,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-231,17,1,0,20121129,0,MIA,SAS
Shot Chart Detail,21200220,194,201986,Nando De Colo,1610612759,San Antonio Spurs,2,2,54,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,21,154,151,1,0,20121129,0,MIA,SAS
Shot Chart Detail,21200220,260,201986,Nando De Colo,1610612759,San Antonio Spurs,3,8,15,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,219,1,1,20121129,0,MIA,SAS
Shot Chart Detail,21200220,280,201986,Nando De Colo,1610612759,San Antonio Spurs,3,6,13,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,1,20121129,1,MIA,SAS
Shot Chart Detail,21200220,366,201986,Nando De Colo,1610612759,San Antonio Spurs,4,9,37,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,12,-111,52,1,0,20121129,0,MIA,SAS
Shot Chart Detail,21200220,425,201986,Nando De Colo,1610612759,San Antonio Spurs,4,6,8,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-3,12,1,1,20121129,0,MIA,SAS
Shot Chart Detail,21200220,436,201986,Nando De Colo,1610612759,San Antonio Spurs,4,4,48,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,244,1,1,20121129,1,MIA,SAS
Shot Chart Detail,21200220,474,201986,Nando De Colo,1610612759,San Antonio Spurs,4,2,25,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,111,224,1,0,20121129,0,MIA,SAS
Shot Chart Detail,21200264,368,201986,Nando De Colo,1610612759,San Antonio Spurs,3,4,0,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,208,1,1,20121205,1,SAS,MIL
Shot Chart Detail,21200264,417,201986,Nando De Colo,1610612759,San Antonio Spurs,4,11,47,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20121205,0,SAS,MIL
Shot Chart Detail,21200264,449,201986,Nando De Colo,1610612759,San Antonio Spurs,4,9,16,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,237,72,1,0,20121205,0,SAS,MIL
