GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200091,429,203098,John Jenkins,1610612737,Atlanta Hawks,4,3,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-52,219,1,0,20121111,LAC,ATL
Shot Chart Detail,0021200091,441,203098,John Jenkins,1610612737,Atlanta Hawks,4,2,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-155,132,1,1,20121111,LAC,ATL
Shot Chart Detail,0021200091,443,203098,John Jenkins,1610612737,Atlanta Hawks,4,2,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-196,85,1,0,20121111,LAC,ATL
Shot Chart Detail,0021200091,466,203098,John Jenkins,1610612737,Atlanta Hawks,4,0,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,14,1,1,20121111,LAC,ATL
Shot Chart Detail,0021200128,487,203098,John Jenkins,1610612737,Atlanta Hawks,4,0,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,62,170,1,0,20121116,SAC,ATL
Shot Chart Detail,0021200149,454,203098,John Jenkins,1610612737,Atlanta Hawks,4,5,30,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,44,1,0,20121119,ATL,ORL
Shot Chart Detail,0021200149,467,203098,John Jenkins,1610612737,Atlanta Hawks,4,4,51,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-8,89,1,0,20121119,ATL,ORL
Shot Chart Detail,0021200300,446,203098,John Jenkins,1610612737,Atlanta Hawks,4,1,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,19,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,463,203098,John Jenkins,1610612737,Atlanta Hawks,4,0,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-166,183,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200322,470,203098,John Jenkins,1610612737,Atlanta Hawks,4,3,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,72,186,1,1,20121213,ATL,CHA
Shot Chart Detail,0021200322,486,203098,John Jenkins,1610612737,Atlanta Hawks,4,2,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,124,170,1,0,20121213,ATL,CHA
Shot Chart Detail,0021200322,501,203098,John Jenkins,1610612737,Atlanta Hawks,4,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-201,143,1,1,20121213,ATL,CHA
Shot Chart Detail,0021200337,384,203098,John Jenkins,1610612737,Atlanta Hawks,3,2,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-32,244,1,0,20121215,ATL,GSW
Shot Chart Detail,0021200337,417,203098,John Jenkins,1610612737,Atlanta Hawks,4,10,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,34,1,0,20121215,ATL,GSW
Shot Chart Detail,0021200337,451,203098,John Jenkins,1610612737,Atlanta Hawks,4,8,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,103,168,1,1,20121215,ATL,GSW
Shot Chart Detail,0021200337,475,203098,John Jenkins,1610612737,Atlanta Hawks,4,6,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-5,258,1,0,20121215,ATL,GSW
Shot Chart Detail,0021200337,516,203098,John Jenkins,1610612737,Atlanta Hawks,4,3,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,189,116,1,1,20121215,ATL,GSW
