GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200022,581,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,0,47,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,4,1,1,20121102,OKC,POR
Shot Chart Detail,0021200051,406,203103,Perry Jones III,1610612760,Oklahoma City Thunder,3,0,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,31,1,0,20121106,OKC,TOR
Shot Chart Detail,0021200051,466,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,8,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,7,1,0,20121106,OKC,TOR
Shot Chart Detail,0021200051,507,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,5,39,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,30,1,0,20121106,OKC,TOR
Shot Chart Detail,0021200093,130,203103,Perry Jones III,1610612760,Oklahoma City Thunder,2,9,29,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-68,12,1,0,20121111,OKC,CLE
Shot Chart Detail,0021200093,140,203103,Perry Jones III,1610612760,Oklahoma City Thunder,2,8,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,154,69,1,0,20121111,OKC,CLE
Shot Chart Detail,0021200093,498,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,1,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,206,1,0,20121111,OKC,CLE
Shot Chart Detail,0021200125,378,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,8,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,70,160,1,0,20121116,NOH,OKC
Shot Chart Detail,0021200125,427,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,4,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,64,1,1,20121116,NOH,OKC
Shot Chart Detail,0021200125,444,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,3,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,0,1,1,20121116,NOH,OKC
Shot Chart Detail,0021200125,471,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,1,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,15,55,1,0,20121116,NOH,OKC
Shot Chart Detail,0021200143,476,203103,Perry Jones III,1610612760,Oklahoma City Thunder,4,1,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,62,173,1,0,20121118,OKC,GSW
