GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21200567,579,201976,Patrick Beverley,1610612745,Houston Rockets,4,1,6,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,231,6,1,1,20130115,1,HOU,LAC
Shot Chart Detail,21200575,231,201976,Patrick Beverley,1610612745,Houston Rockets,2,4,34,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,23,-172,165,1,1,20130116,1,DAL,HOU
Shot Chart Detail,21200575,250,201976,Patrick Beverley,1610612745,Houston Rockets,2,2,39,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,15,-2,1,1,20130116,0,DAL,HOU
Shot Chart Detail,21200575,407,201976,Patrick Beverley,1610612745,Houston Rockets,3,1,51,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,9,82,1,1,20130116,0,DAL,HOU
Shot Chart Detail,21200587,95,201976,Patrick Beverley,1610612745,Houston Rockets,1,2,35,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,18,7,1,0,20130118,0,IND,HOU
Shot Chart Detail,21200587,129,201976,Patrick Beverley,1610612745,Houston Rockets,2,10,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,112,1,1,20130118,1,IND,HOU
Shot Chart Detail,21200587,148,201976,Patrick Beverley,1610612745,Houston Rockets,2,9,4,Missed Shot,Step Back Jump shot,,Mid-Range,Center(C),16-24 ft.,20,-23,205,1,0,20130118,0,IND,HOU
Shot Chart Detail,21200587,336,201976,Patrick Beverley,1610612745,Houston Rockets,3,1,56,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,26,28,1,1,20130118,0,IND,HOU
Shot Chart Detail,21200587,380,201976,Patrick Beverley,1610612745,Houston Rockets,4,11,3,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-125,127,1,0,20130118,0,IND,HOU
Shot Chart Detail,21200587,391,201976,Patrick Beverley,1610612745,Houston Rockets,4,10,5,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-238,-9,1,1,20130118,1,IND,HOU
Shot Chart Detail,21200587,420,201976,Patrick Beverley,1610612745,Houston Rockets,4,6,30,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-38,55,1,0,20130118,0,IND,HOU
Shot Chart Detail,21200587,486,201976,Patrick Beverley,1610612745,Houston Rockets,4,0,42,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,124,1,0,20130118,0,IND,HOU
Shot Chart Detail,21200597,111,201976,Patrick Beverley,1610612745,Houston Rockets,2,10,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,13,227,1,0,20130119,0,MIN,HOU
Shot Chart Detail,21200597,123,201976,Patrick Beverley,1610612745,Houston Rockets,2,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,174,186,1,0,20130119,0,MIN,HOU
Shot Chart Detail,21200597,510,201976,Patrick Beverley,1610612745,Houston Rockets,4,2,33,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-228,22,1,0,20130119,0,MIN,HOU
Shot Chart Detail,21200597,527,201976,Patrick Beverley,1610612745,Houston Rockets,4,0,35,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,143,1,0,20130119,0,MIN,HOU
Shot Chart Detail,21200607,97,201976,Patrick Beverley,1610612745,Houston Rockets,1,3,11,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,190,153,1,0,20130121,0,CHA,HOU
Shot Chart Detail,21200607,111,201976,Patrick Beverley,1610612745,Houston Rockets,1,2,22,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,187,1,1,20130121,1,CHA,HOU
Shot Chart Detail,21200607,167,201976,Patrick Beverley,1610612745,Houston Rockets,2,10,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,184,1,0,20130121,0,CHA,HOU
Shot Chart Detail,21200607,442,201976,Patrick Beverley,1610612745,Houston Rockets,4,10,55,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,13,14,1,1,20130121,0,CHA,HOU
Shot Chart Detail,21200607,541,201976,Patrick Beverley,1610612745,Houston Rockets,4,3,6,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,144,222,1,1,20130121,1,CHA,HOU
Shot Chart Detail,21200607,555,201976,Patrick Beverley,1610612745,Houston Rockets,4,1,20,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,15,1,0,20130121,0,CHA,HOU
Shot Chart Detail,21200622,108,201976,Patrick Beverley,1610612745,Houston Rockets,1,0,32,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,222,121,1,0,20130123,0,HOU,DEN
Shot Chart Detail,21200622,112,201976,Patrick Beverley,1610612745,Houston Rockets,1,0,0,Missed Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,119,1,0,20130123,0,HOU,DEN
Shot Chart Detail,21200622,143,201976,Patrick Beverley,1610612745,Houston Rockets,2,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-90,231,1,0,20130123,0,HOU,DEN
Shot Chart Detail,21200638,535,201976,Patrick Beverley,1610612745,Houston Rockets,4,0,19,Missed Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,59,67,1,0,20130125,0,NOH,HOU
Shot Chart Detail,21200646,519,201976,Patrick Beverley,1610612745,Houston Rockets,4,0,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,9,200,1,0,20130126,0,HOU,BKN
Shot Chart Detail,21200646,525,201976,Patrick Beverley,1610612745,Houston Rockets,4,0,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,162,194,1,0,20130126,0,HOU,BKN
Shot Chart Detail,21200665,418,201976,Patrick Beverley,1610612745,Houston Rockets,4,4,54,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,69,241,1,1,20130128,1,UTA,HOU
Shot Chart Detail,21200718,552,201976,Patrick Beverley,1610612745,Houston Rockets,4,4,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,20,1,1,20130205,1,HOU,GSW
Shot Chart Detail,21200718,567,201976,Patrick Beverley,1610612745,Houston Rockets,4,3,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,116,220,1,0,20130205,0,HOU,GSW
Shot Chart Detail,21200718,612,201976,Patrick Beverley,1610612745,Houston Rockets,4,1,4,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-3,1,1,20130205,0,HOU,GSW
Shot Chart Detail,21200743,319,201976,Patrick Beverley,1610612745,Houston Rockets,3,3,44,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,112,1,0,20130208,0,HOU,POR
Shot Chart Detail,21200743,334,201976,Patrick Beverley,1610612745,Houston Rockets,3,2,29,Missed Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,153,1,0,20130208,0,HOU,POR
Shot Chart Detail,21200760,75,201976,Patrick Beverley,1610612745,Houston Rockets,1,3,22,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,20,-205,4,1,1,20130210,1,SAC,HOU
Shot Chart Detail,21200760,320,201976,Patrick Beverley,1610612745,Houston Rockets,3,4,1,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,225,12,1,0,20130210,0,SAC,HOU
Shot Chart Detail,21200760,331,201976,Patrick Beverley,1610612745,Houston Rockets,3,3,28,Made Shot,Running Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,56,45,1,1,20130210,0,SAC,HOU
