GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21200023,119,203144,Alexey Shved,1610612750,Minnesota Timberwolves,1,1,33,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-234,42,1,0,20121102,0,MIN,SAC
Shot Chart Detail,21200023,416,203144,Alexey Shved,1610612750,Minnesota Timberwolves,3,0,5,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,0,20121102,0,MIN,SAC
Shot Chart Detail,21200023,424,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,11,38,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,220,1,0,20121102,0,MIN,SAC
Shot Chart Detail,21200038,73,203144,Alexey Shved,1610612750,Minnesota Timberwolves,1,3,32,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,189,1,0,20121104,0,TOR,MIN
Shot Chart Detail,21200038,104,203144,Alexey Shved,1610612750,Minnesota Timberwolves,1,0,56,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,144,235,1,0,20121104,0,TOR,MIN
Shot Chart Detail,21200038,140,203144,Alexey Shved,1610612750,Minnesota Timberwolves,2,9,23,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,17,15,176,1,1,20121104,1,TOR,MIN
Shot Chart Detail,21200038,167,203144,Alexey Shved,1610612750,Minnesota Timberwolves,2,6,48,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,21,-35,214,1,0,20121104,0,TOR,MIN
Shot Chart Detail,21200038,420,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,9,21,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-116,216,1,0,20121104,0,TOR,MIN
Shot Chart Detail,21200038,440,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,7,34,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-204,131,1,1,20121104,1,TOR,MIN
Shot Chart Detail,21200043,133,203144,Alexey Shved,1610612750,Minnesota Timberwolves,2,11,25,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,8,265,1,0,20121105,0,BKN,MIN
Shot Chart Detail,21200043,358,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,11,4,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-169,4,1,0,20121105,0,BKN,MIN
Shot Chart Detail,21200043,364,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,10,37,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-198,153,1,1,20121105,1,BKN,MIN
Shot Chart Detail,21200043,399,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,7,28,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,1,252,1,1,20121105,1,BKN,MIN
Shot Chart Detail,21200043,402,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,6,46,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,114,229,1,0,20121105,0,BKN,MIN
Shot Chart Detail,21200043,420,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,5,7,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,71,1,0,20121105,0,BKN,MIN
Shot Chart Detail,21200043,432,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,4,0,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,204,146,1,0,20121105,0,BKN,MIN
Shot Chart Detail,21200043,444,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,2,35,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,67,1,1,20121105,1,BKN,MIN
Shot Chart Detail,21200060,149,203144,Alexey Shved,1610612750,Minnesota Timberwolves,2,9,33,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-105,228,1,0,20121107,0,MIN,ORL
Shot Chart Detail,21200060,196,203144,Alexey Shved,1610612750,Minnesota Timberwolves,2,5,52,Made Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,50,1,1,20121107,0,MIN,ORL
Shot Chart Detail,21200060,410,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,9,5,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-101,231,1,0,20121107,0,MIN,ORL
Shot Chart Detail,21200060,420,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,8,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,0,20121107,0,MIN,ORL
Shot Chart Detail,21200060,442,203144,Alexey Shved,1610612750,Minnesota Timberwolves,4,6,29,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,25,-242,63,1,1,20121107,0,MIN,ORL
