GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21200012,259,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,2,14,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,10,-2,1,1,20121031,1,POR,LAL
Shot Chart Detail,21200012,452,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,8,28,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,18,184,12,1,0,20121031,0,POR,LAL
Shot Chart Detail,21200046,120,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,10,24,Made Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20121105,0,DAL,POR
Shot Chart Detail,21200046,128,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,9,44,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,50,39,1,0,20121105,0,DAL,POR
Shot Chart Detail,21200046,152,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,7,37,Made Shot,Running Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20121105,1,DAL,POR
Shot Chart Detail,21200046,168,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,5,24,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20121105,1,DAL,POR
Shot Chart Detail,21200046,312,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,2,47,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,12,1,0,20121105,0,DAL,POR
Shot Chart Detail,21200046,388,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,9,54,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,1,176,1,0,20121105,0,DAL,POR
Shot Chart Detail,21200046,405,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,8,3,Missed Shot,Turnaround Hook Shot,,Mid-Range,Left Side(L),8-16 ft.,9,-92,17,1,0,20121105,0,DAL,POR
Shot Chart Detail,21200067,128,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,10,21,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,92,186,1,0,20121108,0,POR,LAC
Shot Chart Detail,21200067,393,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,10,50,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,6,1,1,20121108,1,POR,LAC
Shot Chart Detail,21200067,409,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,8,58,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20121108,1,POR,LAC
Shot Chart Detail,21200067,428,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,7,28,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20121108,1,POR,LAC
Shot Chart Detail,21200088,82,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,2,25,Made Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20121110,0,POR,SAS
Shot Chart Detail,21200088,377,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,9,52,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,84,183,1,0,20121110,0,POR,SAS
Shot Chart Detail,21200088,380,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,9,25,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,13,15,135,1,0,20121110,0,POR,SAS
Shot Chart Detail,21200102,144,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,9,1,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20121112,1,POR,ATL
Shot Chart Detail,21200102,316,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,3,48,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,190,20,1,0,20121112,0,POR,ATL
Shot Chart Detail,21200102,330,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,2,54,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,0,20121112,0,POR,ATL
Shot Chart Detail,21200102,365,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,0,0,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-164,195,1,0,20121112,0,POR,ATL
Shot Chart Detail,21200129,85,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,2,24,Missed Shot,Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-24,4,1,0,20121116,0,POR,HOU
Shot Chart Detail,21200129,96,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,1,4,Made Shot,Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,1,20121116,1,POR,HOU
Shot Chart Detail,21200129,144,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,9,14,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-185,30,1,1,20121116,0,POR,HOU
Shot Chart Detail,21200129,302,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,7,12,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,-6,1,0,20121116,0,POR,HOU
Shot Chart Detail,21200129,363,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,1,33,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,-8,1,1,20121116,1,POR,HOU
Shot Chart Detail,21200168,22,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,9,24,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,50,56,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200168,150,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,10,49,Missed Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,0,20121121,0,PHX,POR
Shot Chart Detail,21200168,173,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,9,38,Made Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,130,1,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200168,216,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,5,17,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,-3,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200168,223,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,4,32,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200168,236,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,2,53,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,129,0,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200168,263,203086,Meyers Leonard,1610612757,Portland Trail Blazers,2,0,0,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-57,47,1,0,20121121,0,PHX,POR
Shot Chart Detail,21200168,485,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,3,5,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,-41,160,1,0,20121121,0,PHX,POR
Shot Chart Detail,21200168,509,203086,Meyers Leonard,1610612757,Portland Trail Blazers,4,0,43,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,72,173,1,1,20121121,1,PHX,POR
Shot Chart Detail,21200182,293,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,5,25,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-68,164,1,1,20121123,1,POR,MIN
Shot Chart Detail,21200182,295,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,4,44,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,154,9,1,0,20121123,0,POR,MIN
Shot Chart Detail,21200182,333,203086,Meyers Leonard,1610612757,Portland Trail Blazers,3,2,35,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-24,23,1,0,20121123,0,POR,MIN
Shot Chart Detail,21200193,3,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,11,34,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,15,1,0,20121125,0,BKN,POR
Shot Chart Detail,21200193,7,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,10,58,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,51,83,1,1,20121125,1,BKN,POR
Shot Chart Detail,21200193,116,203086,Meyers Leonard,1610612757,Portland Trail Blazers,1,0,48,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,4,1,1,20121125,1,BKN,POR
