GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100111,20,201143,Al Horford,1610612738,Boston Celtics,1,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,87,251,1,1,20220417,0,BOS,BKN
Shot Chart Detail,42100111,86,201143,Al Horford,1610612738,Boston Celtics,1,6,10,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,16,1,1,20220417,1,BOS,BKN
Shot Chart Detail,42100111,105,201143,Al Horford,1610612738,Boston Celtics,1,4,57,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,0,20220417,0,BOS,BKN
Shot Chart Detail,42100111,112,201143,Al Horford,1610612738,Boston Celtics,1,4,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-77,254,1,1,20220417,1,BOS,BKN
Shot Chart Detail,42100111,258,201143,Al Horford,1610612738,Boston Celtics,2,7,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,13,1,1,20220417,1,BOS,BKN
Shot Chart Detail,42100111,281,201143,Al Horford,1610612738,Boston Celtics,2,6,25,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,1,20220417,1,BOS,BKN
Shot Chart Detail,42100111,373,201143,Al Horford,1610612738,Boston Celtics,3,11,43,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,43,67,1,1,20220417,0,BOS,BKN
Shot Chart Detail,42100111,421,201143,Al Horford,1610612738,Boston Celtics,3,7,28,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,45,41,1,0,20220417,0,BOS,BKN
Shot Chart Detail,42100111,423,201143,Al Horford,1610612738,Boston Celtics,3,7,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,45,1,0,20220417,0,BOS,BKN
Shot Chart Detail,42100111,488,201143,Al Horford,1610612738,Boston Celtics,3,2,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,1,20220417,0,BOS,BKN
Shot Chart Detail,42100111,507,201143,Al Horford,1610612738,Boston Celtics,3,1,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,15,1,0,20220417,0,BOS,BKN
Shot Chart Detail,42100111,575,201143,Al Horford,1610612738,Boston Celtics,4,8,10,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220417,0,BOS,BKN
Shot Chart Detail,42100111,658,201143,Al Horford,1610612738,Boston Celtics,4,1,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,1,20220417,0,BOS,BKN
Shot Chart Detail,42100112,47,201143,Al Horford,1610612738,Boston Celtics,1,8,6,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20220420,1,BOS,BKN
Shot Chart Detail,42100112,92,201143,Al Horford,1610612738,Boston Celtics,1,5,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-146,26,1,1,20220420,1,BOS,BKN
