GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100161,33,201145,Jeff Green,1610612743,Denver Nuggets,1,8,47,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,239,26,1,1,20220416,1,GSW,DEN
Shot Chart Detail,42100161,63,201145,Jeff Green,1610612743,Denver Nuggets,1,5,30,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,205,1,1,20220416,1,GSW,DEN
Shot Chart Detail,42100161,409,201145,Jeff Green,1610612743,Denver Nuggets,3,5,35,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220416,0,GSW,DEN
Shot Chart Detail,42100162,91,201145,Jeff Green,1610612743,Denver Nuggets,1,4,53,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-7,1,0,20220418,0,GSW,DEN
Shot Chart Detail,42100162,99,201145,Jeff Green,1610612743,Denver Nuggets,1,3,45,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-132,232,1,1,20220418,1,GSW,DEN
Shot Chart Detail,42100162,313,201145,Jeff Green,1610612743,Denver Nuggets,2,2,3,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,229,25,1,0,20220418,0,GSW,DEN
Shot Chart Detail,42100163,13,201145,Jeff Green,1610612743,Denver Nuggets,1,10,35,Missed Shot,Turnaround Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,47,158,1,0,20220421,0,DEN,GSW
Shot Chart Detail,42100163,342,201145,Jeff Green,1610612743,Denver Nuggets,3,11,2,Made Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-134,26,1,1,20220421,0,DEN,GSW
Shot Chart Detail,42100163,406,201145,Jeff Green,1610612743,Denver Nuggets,3,5,28,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-228,6,1,0,20220421,0,DEN,GSW
Shot Chart Detail,42100163,419,201145,Jeff Green,1610612743,Denver Nuggets,3,4,34,Missed Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,132,9,1,0,20220421,0,DEN,GSW
Shot Chart Detail,42100163,577,201145,Jeff Green,1610612743,Denver Nuggets,4,8,25,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,134,210,1,0,20220421,0,DEN,GSW
Shot Chart Detail,42100164,431,201145,Jeff Green,1610612743,Denver Nuggets,3,9,34,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-17,32,1,1,20220424,0,DEN,GSW
Shot Chart Detail,42100165,25,201145,Jeff Green,1610612743,Denver Nuggets,1,9,54,Missed Shot,Driving Reverse Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,30,1,0,20220427,0,GSW,DEN
Shot Chart Detail,42100165,307,201145,Jeff Green,1610612743,Denver Nuggets,2,3,44,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,27,1,0,20220427,0,GSW,DEN
Shot Chart Detail,42100165,357,201145,Jeff Green,1610612743,Denver Nuggets,2,0,2,Missed Shot,Putback Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,40,1,0,20220427,0,GSW,DEN
Shot Chart Detail,42100165,365,201145,Jeff Green,1610612743,Denver Nuggets,3,11,47,Made Shot,Alley Oop Dunk Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,37,1,1,20220427,1,GSW,DEN
Shot Chart Detail,42100165,395,201145,Jeff Green,1610612743,Denver Nuggets,3,8,52,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,224,59,1,0,20220427,0,GSW,DEN
