GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100141,187,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,2,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-221,149,1,0,20220417,0,PHX,NOP
Shot Chart Detail,42100141,310,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,2,2,3,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,0,20220417,0,PHX,NOP
Shot Chart Detail,42100141,329,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,2,0,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-249,-1,1,1,20220417,1,PHX,NOP
Shot Chart Detail,42100141,592,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,5,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,0,20220417,0,PHX,NOP
Shot Chart Detail,42100142,506,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,11,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,50,1,1,20220419,0,PHX,NOP
Shot Chart Detail,42100142,510,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,168,216,1,1,20220419,1,PHX,NOP
Shot Chart Detail,42100142,571,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,5,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,16,1,1,20220419,1,PHX,NOP
Shot Chart Detail,42100143,280,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,2,4,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,-7,1,0,20220422,0,NOP,PHX
Shot Chart Detail,42100143,539,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,9,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,205,151,1,1,20220422,1,NOP,PHX
Shot Chart Detail,42100143,557,1630631,Jose Alvarado,1610612740,New Orleans Pelicans,4,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,22,1,1,20220422,0,NOP,PHX
