GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100152,180,1629675,Naz Reid,1610612750,Minnesota Timberwolves,1,0,28,Missed Shot,Turnaround Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,0,20220419,0,MEM,MIN
Shot Chart Detail,42100152,272,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,6,41,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-234,0,1,0,20220419,0,MEM,MIN
Shot Chart Detail,42100152,284,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,5,56,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,129,237,1,1,20220419,1,MEM,MIN
Shot Chart Detail,42100152,345,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,1,16,Made Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-162,197,1,1,20220419,1,MEM,MIN
Shot Chart Detail,42100153,226,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,8,57,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,0,20220421,0,MIN,MEM
Shot Chart Detail,42100153,235,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,8,1,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,226,1,0,20220421,0,MIN,MEM
Shot Chart Detail,42100153,624,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,6,48,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-16,27,1,0,20220421,0,MIN,MEM
Shot Chart Detail,42100153,636,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,5,43,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,0,20220421,0,MIN,MEM
Shot Chart Detail,42100153,639,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,5,42,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,6,14,1,1,20220421,0,MIN,MEM
Shot Chart Detail,42100154,234,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,9,39,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-10,247,1,0,20220423,0,MIN,MEM
Shot Chart Detail,42100155,130,1629675,Naz Reid,1610612750,Minnesota Timberwolves,1,2,25,Made Shot,Running Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-229,-15,1,1,20220426,1,MEM,MIN
Shot Chart Detail,42100155,150,1629675,Naz Reid,1610612750,Minnesota Timberwolves,1,1,15,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1,20220426,1,MEM,MIN
Shot Chart Detail,42100155,183,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,11,44,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-25,20,1,1,20220426,1,MEM,MIN
Shot Chart Detail,42100155,202,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,9,51,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,82,242,1,0,20220426,0,MEM,MIN
Shot Chart Detail,42100155,220,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,8,45,Missed Shot,Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-26,60,1,0,20220426,0,MEM,MIN
Shot Chart Detail,42100155,224,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,8,40,Made Shot,Cutting Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20220426,1,MEM,MIN
Shot Chart Detail,42100155,575,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,11,29,Missed Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,0,20220426,0,MEM,MIN
