GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100101,194,1629130,Duncan Robinson,1610612748,Miami Heat,2,11,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,197,188,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,244,1629130,Duncan Robinson,1610612748,Miami Heat,2,7,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,87,263,1,0,20220417,0,MIA,ATL
Shot Chart Detail,42100101,247,1629130,Duncan Robinson,1610612748,Miami Heat,2,7,26,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,72,271,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,299,1629130,Duncan Robinson,1610612748,Miami Heat,2,4,10,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,10,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,325,1629130,Duncan Robinson,1610612748,Miami Heat,2,1,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,37,266,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,492,1629130,Duncan Robinson,1610612748,Miami Heat,3,0,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-211,141,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,516,1629130,Duncan Robinson,1610612748,Miami Heat,4,11,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-190,178,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,530,1629130,Duncan Robinson,1610612748,Miami Heat,4,9,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,168,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,535,1629130,Duncan Robinson,1610612748,Miami Heat,4,8,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-191,185,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,581,1629130,Duncan Robinson,1610612748,Miami Heat,4,5,34,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,53,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100103,106,1629130,Duncan Robinson,1610612748,Miami Heat,1,2,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,229,1,0,20220422,0,ATL,MIA
Shot Chart Detail,42100103,512,1629130,Duncan Robinson,1610612748,Miami Heat,4,9,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,77,243,1,0,20220422,0,ATL,MIA
Shot Chart Detail,42100103,520,1629130,Duncan Robinson,1610612748,Miami Heat,4,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,200,159,1,1,20220422,1,ATL,MIA
