GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100101,607,1630209,Omer Yurtseven,1610612748,Miami Heat,4,3,30,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,623,1630209,Omer Yurtseven,1610612748,Miami Heat,4,2,4,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1,20220417,1,MIA,ATL
Shot Chart Detail,42100101,637,1630209,Omer Yurtseven,1610612748,Miami Heat,4,0,57,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-192,180,1,0,20220417,0,MIA,ATL
Shot Chart Detail,42100104,635,1630209,Omer Yurtseven,1610612748,Miami Heat,4,0,13,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,1,20220424,1,ATL,MIA
Shot Chart Detail,42100201,602,1630209,Omer Yurtseven,1610612748,Miami Heat,4,3,59,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,0,122,1,1,20220502,1,MIA,PHI
Shot Chart Detail,42100201,617,1630209,Omer Yurtseven,1610612748,Miami Heat,4,2,29,Missed Shot,Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,43,1,0,20220502,0,MIA,PHI
Shot Chart Detail,42100201,631,1630209,Omer Yurtseven,1610612748,Miami Heat,4,1,13,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20220502,1,MIA,PHI
Shot Chart Detail,42100201,639,1630209,Omer Yurtseven,1610612748,Miami Heat,4,0,44,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,13,-13,137,1,1,20220502,1,MIA,PHI
Shot Chart Detail,42100202,638,1630209,Omer Yurtseven,1610612748,Miami Heat,4,1,1,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,20,83,1,1,20220504,1,MIA,PHI
Shot Chart Detail,42100205,514,1630209,Omer Yurtseven,1610612748,Miami Heat,4,7,55,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20220510,1,MIA,PHI
Shot Chart Detail,42100205,546,1630209,Omer Yurtseven,1610612748,Miami Heat,4,5,28,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-1,257,1,0,20220510,0,MIA,PHI
Shot Chart Detail,42100205,603,1630209,Omer Yurtseven,1610612748,Miami Heat,4,0,25,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,110,-5,1,1,20220510,1,MIA,PHI
Shot Chart Detail,42100302,559,1630209,Omer Yurtseven,1610612748,Miami Heat,4,5,2,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,50,117,1,0,20220519,0,MIA,BOS
Shot Chart Detail,42100302,580,1630209,Omer Yurtseven,1610612748,Miami Heat,4,3,8,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,95,1,1,20220519,1,MIA,BOS
Shot Chart Detail,42100302,612,1630209,Omer Yurtseven,1610612748,Miami Heat,4,1,18,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220519,0,MIA,BOS
Shot Chart Detail,42100304,592,1630209,Omer Yurtseven,1610612748,Miami Heat,4,5,14,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,1,7,16,1,1,20220523,1,BOS,MIA
Shot Chart Detail,42100304,598,1630209,Omer Yurtseven,1610612748,Miami Heat,4,4,38,Missed Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,48,1,0,20220523,0,BOS,MIA
Shot Chart Detail,42100305,603,1630209,Omer Yurtseven,1610612748,Miami Heat,4,0,56,Made Shot,Driving Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-13,13,1,1,20220525,1,MIA,BOS
