GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100104,259,203506,Victor Oladipo,1610612748,Miami Heat,2,5,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,21,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,290,203506,Victor Oladipo,1610612748,Miami Heat,2,3,19,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-94,158,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,308,203506,Victor Oladipo,1610612748,Miami Heat,2,1,56,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,93,247,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,457,203506,Victor Oladipo,1610612748,Miami Heat,3,2,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,17,1,1,20220424,0,ATL,MIA
Shot Chart Detail,42100104,460,203506,Victor Oladipo,1610612748,Miami Heat,3,1,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,101,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,490,203506,Victor Oladipo,1610612748,Miami Heat,4,11,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-20,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,555,203506,Victor Oladipo,1610612748,Miami Heat,4,8,57,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,54,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,534,203506,Victor Oladipo,1610612748,Miami Heat,4,6,58,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,104,242,1,0,20220424,0,ATL,MIA
Shot Chart Detail,42100104,593,203506,Victor Oladipo,1610612748,Miami Heat,4,3,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,15,1,1,20220424,1,ATL,MIA
Shot Chart Detail,42100104,625,203506,Victor Oladipo,1610612748,Miami Heat,4,1,45,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,42,123,1,1,20220424,0,ATL,MIA
