GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100121,100,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,3,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,217,128,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,126,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,1,57,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-25,76,1,1,20220417,0,MIL,CHI
Shot Chart Detail,42100121,130,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,1,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-152,233,1,1,20220417,1,MIL,CHI
Shot Chart Detail,42100121,267,1626171,Bobby Portis,1610612749,Milwaukee Bucks,2,5,38,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,21,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,491,1626171,Bobby Portis,1610612749,Milwaukee Bucks,3,1,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,31,1,1,20220417,1,MIL,CHI
Shot Chart Detail,42100121,524,1626171,Bobby Portis,1610612749,Milwaukee Bucks,4,11,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,235,120,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,531,1626171,Bobby Portis,1610612749,Milwaukee Bucks,4,11,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,61,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,535,1626171,Bobby Portis,1610612749,Milwaukee Bucks,4,10,40,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,40,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100122,108,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,213,123,1,0,20220420,0,MIL,CHI
Shot Chart Detail,42100122,119,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,0,50,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,48,1,0,20220420,0,MIL,CHI
