GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100131,15,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,11,4,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,29,1,0,20220416,0,PHI,TOR
Shot Chart Detail,42100131,29,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,10,32,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,34,104,1,1,20220416,0,PHI,TOR
Shot Chart Detail,42100131,41,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,9,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20220416,0,PHI,TOR
Shot Chart Detail,42100131,53,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,7,52,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-197,172,1,1,20220416,1,PHI,TOR
Shot Chart Detail,42100131,106,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,3,36,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,214,152,1,1,20220416,1,PHI,TOR
Shot Chart Detail,42100131,116,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,2,50,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,10,-44,90,1,0,20220416,0,PHI,TOR
Shot Chart Detail,42100131,191,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,9,18,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,85,272,1,0,20220416,0,PHI,TOR
Shot Chart Detail,42100131,200,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,8,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,-10,1,1,20220416,1,PHI,TOR
Shot Chart Detail,42100131,211,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,7,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-113,-8,1,0,20220416,0,PHI,TOR
Shot Chart Detail,42100131,251,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,5,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,158,226,1,1,20220416,1,PHI,TOR
