GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100121,12,203897,Zach LaVine,1610612741,Chicago Bulls,1,11,24,Missed Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,45,203897,Zach LaVine,1610612741,Chicago Bulls,1,7,20,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,28,104,264,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,63,203897,Zach LaVine,1610612741,Chicago Bulls,1,5,54,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,1,20220417,0,MIL,CHI
Shot Chart Detail,42100121,66,203897,Zach LaVine,1610612741,Chicago Bulls,1,5,29,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,27,-23,271,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,95,203897,Zach LaVine,1610612741,Chicago Bulls,1,3,49,Made Shot,Driving Floating Bank Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-28,20,1,1,20220417,0,MIL,CHI
Shot Chart Detail,42100121,172,203897,Zach LaVine,1610612741,Chicago Bulls,2,10,43,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-21,29,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,273,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,58,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,161,208,1,1,20220417,1,MIL,CHI
Shot Chart Detail,42100121,297,203897,Zach LaVine,1610612741,Chicago Bulls,2,3,32,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-29,274,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,339,203897,Zach LaVine,1610612741,Chicago Bulls,2,0,24,Missed Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,13,37,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,367,203897,Zach LaVine,1610612741,Chicago Bulls,3,10,43,Made Shot,Step Back Jump shot,,Mid-Range,Right Side(R),16-24 ft.,16,163,7,1,1,20220417,0,MIL,CHI
