GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42100121,138,1628975,Jevon Carter,1610612749,Milwaukee Bucks,1,0,53,Missed Shot,Running Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-232,85,1,0,20220417,0,MIL,CHI
Shot Chart Detail,42100121,232,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,7,39,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-234,-3,1,1,20220417,1,MIL,CHI
Shot Chart Detail,42100122,157,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,11,8,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-74,257,1,0,20220420,0,MIL,CHI
Shot Chart Detail,42100124,243,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,4,19,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,230,115,1,1,20220424,1,CHI,MIL
Shot Chart Detail,42100124,422,1628975,Jevon Carter,1610612749,Milwaukee Bucks,3,4,21,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,11,94,1,0,20220424,0,CHI,MIL
Shot Chart Detail,42100124,522,1628975,Jevon Carter,1610612749,Milwaukee Bucks,4,9,58,Missed Shot,Turnaround Fadeaway shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-69,76,1,0,20220424,0,CHI,MIL
Shot Chart Detail,42100125,175,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,11,19,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,10,-102,5,1,0,20220427,0,MIL,CHI
Shot Chart Detail,42100125,186,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,9,41,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,16,-18,168,1,1,20220427,0,MIL,CHI
Shot Chart Detail,42100125,199,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,9,3,Made Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,138,1,1,20220427,1,MIL,CHI
Shot Chart Detail,42100125,209,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,8,1,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,100,241,1,0,20220427,0,MIL,CHI
Shot Chart Detail,42100125,291,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,2,22,Missed Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,0,20220427,0,MIL,CHI
Shot Chart Detail,42100125,612,1628975,Jevon Carter,1610612749,Milwaukee Bucks,4,3,36,Made Shot,Running Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,5,5,1,1,20220427,0,MIL,CHI
Shot Chart Detail,42100211,129,1628975,Jevon Carter,1610612749,Milwaukee Bucks,1,2,54,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-55,64,1,0,20220501,0,BOS,MIL
Shot Chart Detail,42100211,161,1628975,Jevon Carter,1610612749,Milwaukee Bucks,1,1,7,Made Shot,Running Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-201,170,1,1,20220501,1,BOS,MIL
Shot Chart Detail,42100211,287,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,4,42,Missed Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-222,122,1,0,20220501,0,BOS,MIL
Shot Chart Detail,42100211,630,1628975,Jevon Carter,1610612749,Milwaukee Bucks,4,7,54,Made Shot,Fadeaway Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-113,167,1,1,20220501,1,BOS,MIL
Shot Chart Detail,42100212,175,1628975,Jevon Carter,1610612749,Milwaukee Bucks,2,9,24,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,21,-56,205,1,1,20220503,1,BOS,MIL
Shot Chart Detail,42100213,560,1628975,Jevon Carter,1610612749,Milwaukee Bucks,3,0,5,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,11,21,113,1,0,20220507,0,MIL,BOS
Shot Chart Detail,42100216,665,1628975,Jevon Carter,1610612749,Milwaukee Bucks,4,0,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,99,11,1,1,20220513,0,MIL,BOS
