GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON
Shot Chart Detail,0042400131,9,1631157,Ryan Rollins,1610612749,Milwaukee Bucks,1,11,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,1,20250419,IND,MIL,00424001319,320,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,14,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,51,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,25,129,1,1,20250419,IND,MIL,004240013114,690,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,19,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,1,20250419,IND,MIL,004240013119,970,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,25,201572,Brook Lopez,1610612749,Milwaukee Bucks,1,9,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,159,240,1,0,20250419,IND,MIL,004240013125,1500,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,29,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,9,3,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-6,1,1,20250419,IND,MIL,004240013129,1770,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,32,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,8,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,16,1,0,20250419,IND,MIL,004240013132,2090,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,35,201572,Brook Lopez,1610612749,Milwaukee Bucks,1,8,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,28,273,1,0,20250419,IND,MIL,004240013135,2330,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,42,1631157,Ryan Rollins,1610612749,Milwaukee Bucks,1,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,215,1,1,20250419,IND,MIL,004240013142,2640,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,60,201572,Brook Lopez,1610612749,Milwaukee Bucks,1,6,26,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20250419,IND,MIL,004240013160,3340,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,64,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,5,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-10,1,1,20250419,IND,MIL,004240013164,3740,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,67,1628398,Kyle Kuzma,1610612749,Milwaukee Bucks,1,5,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-118,224,1,0,20250419,IND,MIL,004240013167,4070,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,70,1631157,Ryan Rollins,1610612749,Milwaukee Bucks,1,4,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,60,130,1,0,20250419,IND,MIL,004240013170,4400,0,201572|203507|1627752|1628398|1631157
Shot Chart Detail,0042400131,87,1628398,Kyle Kuzma,1610612749,Milwaukee Bucks,1,4,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,57,1,0,20250419,IND,MIL,004240013187,4750,0,203507|1626171|1627752|1628398|1629645
Shot Chart Detail,0042400131,103,1626171,Bobby Portis,1610612749,Milwaukee Bucks,1,3,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-183,-7,1,0,20250419,IND,MIL,0042400131103,5360,0,203507|1626171|1629018|1629645|1631260
