GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000002,30,2030,Kenyon Martin,1610612751,New Jersey Nets,1,9,11,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-128,47,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,70,2030,Kenyon Martin,1610612751,New Jersey Nets,1,5,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,22,203,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,117,2030,Kenyon Martin,1610612751,New Jersey Nets,1,0,48,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,15,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,165,2030,Kenyon Martin,1610612751,New Jersey Nets,2,7,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,63,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,179,2030,Kenyon Martin,1610612751,New Jersey Nets,2,6,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,195,2030,Kenyon Martin,1610612751,New Jersey Nets,2,5,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-42,116,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,206,2030,Kenyon Martin,1610612751,New Jersey Nets,2,4,48,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-56,63,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,239,2030,Kenyon Martin,1610612751,New Jersey Nets,2,1,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,1,177,1,1,20001031,NJN,CLE
Shot Chart Detail,0020000002,282,2030,Kenyon Martin,1610612751,New Jersey Nets,3,10,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,NJN,CLE
Shot Chart Detail,0020000002,290,2030,Kenyon Martin,1610612751,New Jersey Nets,3,9,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,138,63,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,297,2030,Kenyon Martin,1610612751,New Jersey Nets,3,8,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,21,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,304,2030,Kenyon Martin,1610612751,New Jersey Nets,3,8,16,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,NJN,CLE
Shot Chart Detail,0020000002,309,2030,Kenyon Martin,1610612751,New Jersey Nets,3,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,NJN,CLE
Shot Chart Detail,0020000002,397,2030,Kenyon Martin,1610612751,New Jersey Nets,4,11,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-162,15,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,409,2030,Kenyon Martin,1610612751,New Jersey Nets,4,10,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000002,473,2030,Kenyon Martin,1610612751,New Jersey Nets,4,3,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-134,116,1,0,20001031,NJN,CLE
Shot Chart Detail,0020000033,135,2030,Kenyon Martin,1610612751,New Jersey Nets,2,10,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,-13,1,0,20001103,CHI,NJN
Shot Chart Detail,0020000033,152,2030,Kenyon Martin,1610612751,New Jersey Nets,2,8,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001103,CHI,NJN
Shot Chart Detail,0020000033,196,2030,Kenyon Martin,1610612751,New Jersey Nets,2,5,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001103,CHI,NJN
Shot Chart Detail,0020000033,232,2030,Kenyon Martin,1610612751,New Jersey Nets,2,2,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,108,125,1,0,20001103,CHI,NJN
Shot Chart Detail,0020000033,463,2030,Kenyon Martin,1610612751,New Jersey Nets,4,5,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,63,1,1,20001103,CHI,NJN
Shot Chart Detail,0020000033,486,2030,Kenyon Martin,1610612751,New Jersey Nets,4,2,44,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001103,CHI,NJN
Shot Chart Detail,0020000034,9,2030,Kenyon Martin,1610612751,New Jersey Nets,1,11,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,159,15,1,0,20001104,NJN,CHH
Shot Chart Detail,0020000034,18,2030,Kenyon Martin,1610612751,New Jersey Nets,1,9,47,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001104,NJN,CHH
