GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20000010,186,2052,DeShawn Stevenson,1610612762,Utah Jazz,2,6,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,1,UTA,LAC
Shot Chart Detail,20000010,245,2052,DeShawn Stevenson,1610612762,Utah Jazz,2,1,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,1,UTA,LAC
Shot Chart Detail,20000010,519,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,0,48,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,21,-117,177,1,0,20001031,0,UTA,LAC
Shot Chart Detail,20000052,314,2052,DeShawn Stevenson,1610612762,Utah Jazz,3,2,41,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001106,1,UTA,MIN
Shot Chart Detail,20000083,324,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,9,35,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,29,18,291,1,0,20001110,0,UTA,MIA
Shot Chart Detail,20000107,355,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,10,30,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,1,20001114,1,SAS,UTA
Shot Chart Detail,20000107,395,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,6,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,19,1,0,20001114,0,SAS,UTA
Shot Chart Detail,20000107,460,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,0,41,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,1,20001114,0,SAS,UTA
Shot Chart Detail,20000123,115,2052,DeShawn Stevenson,1610612762,Utah Jazz,2,11,31,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,70,169,1,0,20001116,0,UTA,ORL
Shot Chart Detail,20000123,128,2052,DeShawn Stevenson,1610612762,Utah Jazz,2,10,23,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001116,0,UTA,ORL
Shot Chart Detail,20000141,14,2052,DeShawn Stevenson,1610612762,Utah Jazz,1,10,23,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-73,179,1,0,20001118,0,UTA,CHI
Shot Chart Detail,20000141,294,2052,DeShawn Stevenson,1610612762,Utah Jazz,3,7,8,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001118,1,UTA,CHI
Shot Chart Detail,20000141,452,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,0,44,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001118,0,UTA,CHI
Shot Chart Detail,20000141,457,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,0,8,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,60,45,1,0,20001118,0,UTA,CHI
Shot Chart Detail,20000150,43,2052,DeShawn Stevenson,1610612762,Utah Jazz,1,7,21,Missed Shot,Running Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,24,15,1,0,20001120,0,UTA,DAL
Shot Chart Detail,20000150,68,2052,DeShawn Stevenson,1610612762,Utah Jazz,1,5,22,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001120,1,UTA,DAL
Shot Chart Detail,20000150,95,2052,DeShawn Stevenson,1610612762,Utah Jazz,1,1,35,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,16,34,1,0,20001120,0,UTA,DAL
Shot Chart Detail,20000150,226,2052,DeShawn Stevenson,1610612762,Utah Jazz,2,0,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,21,1,0,20001120,0,UTA,DAL
Shot Chart Detail,20000150,263,2052,DeShawn Stevenson,1610612762,Utah Jazz,3,8,30,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001120,0,UTA,DAL
Shot Chart Detail,20000150,266,2052,DeShawn Stevenson,1610612762,Utah Jazz,3,8,1,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,68,1,0,20001120,0,UTA,DAL
Shot Chart Detail,20000150,291,2052,DeShawn Stevenson,1610612762,Utah Jazz,3,4,58,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-79,228,1,0,20001120,0,UTA,DAL
Shot Chart Detail,20000166,378,2052,DeShawn Stevenson,1610612762,Utah Jazz,4,9,39,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001122,0,UTA,DEN
