GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000010,346,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,4,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,UTA,LAC
Shot Chart Detail,0020000010,357,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-117,129,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,366,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,2,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,226,106,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,383,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,0,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-170,78,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,392,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,11,43,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,9,135,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,397,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,10,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,212,59,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,399,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,10,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,195,101,1,1,20001031,UTA,LAC
Shot Chart Detail,0020000010,431,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,6,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,77,30,1,0,20001031,UTA,LAC
Shot Chart Detail,0020000010,447,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,5,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,-8,1,0,20001031,UTA,LAC
Shot Chart Detail,0020000010,476,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,3,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,203,152,1,0,20001031,UTA,LAC
Shot Chart Detail,0020000010,509,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,1,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-193,101,1,0,20001031,UTA,LAC
Shot Chart Detail,0020000027,136,1894,Corey Maggette,1610612746,Los Angeles Clippers,2,8,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,370,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,7,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,375,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,7,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-88,173,1,0,20001102,LAC,VAN
Shot Chart Detail,0020000027,407,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,4,21,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,436,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,1,53,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000027,469,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,0,33,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001102,LAC,VAN
Shot Chart Detail,0020000044,85,1894,Corey Maggette,1610612746,Los Angeles Clippers,1,2,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-176,57,1,0,20001104,LAC,HOU
Shot Chart Detail,0020000044,95,1894,Corey Maggette,1610612746,Los Angeles Clippers,1,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,214,148,1,0,20001104,LAC,HOU
Shot Chart Detail,0020000044,107,1894,Corey Maggette,1610612746,Los Angeles Clippers,1,0,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,224,1,0,20001104,LAC,HOU
Shot Chart Detail,0020000070,311,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,4,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,127,148,1,1,20001108,LAC,UTA
Shot Chart Detail,0020000070,313,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,3,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-109,158,1,0,20001108,LAC,UTA
Shot Chart Detail,0020000070,328,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,2,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,169,129,1,1,20001108,LAC,UTA
Shot Chart Detail,0020000070,345,1894,Corey Maggette,1610612746,Los Angeles Clippers,3,1,27,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001108,LAC,UTA
Shot Chart Detail,0020000070,411,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,7,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-10,87,1,0,20001108,LAC,UTA
Shot Chart Detail,0020000070,417,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,6,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001108,LAC,UTA
Shot Chart Detail,0020000070,435,1894,Corey Maggette,1610612746,Los Angeles Clippers,4,4,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,113,148,1,0,20001108,LAC,UTA
Shot Chart Detail,0020000070,516,1894,Corey Maggette,1610612746,Los Angeles Clippers,5,1,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,106,19,1,0,20001108,LAC,UTA
Shot Chart Detail,0020000070,527,1894,Corey Maggette,1610612746,Los Angeles Clippers,5,1,18,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,47,70,1,1,20001108,LAC,UTA
Shot Chart Detail,0020000070,556,1894,Corey Maggette,1610612746,Los Angeles Clippers,5,0,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-10,97,1,0,20001108,LAC,UTA
Shot Chart Detail,0020000084,90,1894,Corey Maggette,1610612746,Los Angeles Clippers,1,0,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,91,173,1,0,20001110,LAC,ATL
Shot Chart Detail,0020000084,93,1894,Corey Maggette,1610612746,Los Angeles Clippers,1,0,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,39,80,1,0,20001110,LAC,ATL
Shot Chart Detail,0020000084,113,1894,Corey Maggette,1610612746,Los Angeles Clippers,2,9,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,9,1,0,20001110,LAC,ATL
Shot Chart Detail,0020000097,159,1894,Corey Maggette,1610612746,Los Angeles Clippers,2,7,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001112,DEN,LAC
Shot Chart Detail,0020000097,169,1894,Corey Maggette,1610612746,Los Angeles Clippers,2,7,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001112,DEN,LAC
Shot Chart Detail,0020000097,243,1894,Corey Maggette,1610612746,Los Angeles Clippers,2,0,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,178,13,1,0,20001112,DEN,LAC
