GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020000016,468,2067,Eddie House,1610612748,Miami Heat,4,4,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-94,122,1,0,20001101,MIA,ORL
Shot Chart Detail,0020000016,514,2067,Eddie House,1610612748,Miami Heat,4,1,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-157,133,1,0,20001101,MIA,ORL
Shot Chart Detail,0020000016,523,2067,Eddie House,1610612748,Miami Heat,4,0,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,3,177,1,1,20001101,MIA,ORL
Shot Chart Detail,0020000112,149,2067,Eddie House,1610612748,Miami Heat,2,7,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,167,34,1,1,20001115,NJN,MIA
Shot Chart Detail,0020000112,162,2067,Eddie House,1610612748,Miami Heat,2,6,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-92,129,1,0,20001115,NJN,MIA
Shot Chart Detail,0020000112,196,2067,Eddie House,1610612748,Miami Heat,2,3,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,28,1,0,20001115,NJN,MIA
Shot Chart Detail,0020000112,204,2067,Eddie House,1610612748,Miami Heat,2,2,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,94,232,1,1,20001115,NJN,MIA
Shot Chart Detail,0020000127,289,2067,Eddie House,1610612748,Miami Heat,3,2,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,188,53,1,1,20001117,PHI,MIA
Shot Chart Detail,0020000127,326,2067,Eddie House,1610612748,Miami Heat,4,11,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-25,165,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000127,330,2067,Eddie House,1610612748,Miami Heat,4,10,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,-2,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000127,339,2067,Eddie House,1610612748,Miami Heat,4,9,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,165,-32,1,1,20001117,PHI,MIA
Shot Chart Detail,0020000127,345,2067,Eddie House,1610612748,Miami Heat,4,9,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,-15,1,1,20001117,PHI,MIA
Shot Chart Detail,0020000127,354,2067,Eddie House,1610612748,Miami Heat,4,7,50,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-174,80,1,1,20001117,PHI,MIA
Shot Chart Detail,0020000127,366,2067,Eddie House,1610612748,Miami Heat,4,6,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-4,205,1,1,20001117,PHI,MIA
Shot Chart Detail,0020000127,378,2067,Eddie House,1610612748,Miami Heat,4,4,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,129,125,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000127,413,2067,Eddie House,1610612748,Miami Heat,4,0,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,54,2,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000127,418,2067,Eddie House,1610612748,Miami Heat,4,0,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-10,192,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000127,420,2067,Eddie House,1610612748,Miami Heat,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,81,266,1,0,20001117,PHI,MIA
Shot Chart Detail,0020000136,124,2067,Eddie House,1610612748,Miami Heat,2,8,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,51,1,1,20001118,MIA,POR
Shot Chart Detail,0020000136,151,2067,Eddie House,1610612748,Miami Heat,2,6,31,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,89,89,1,1,20001118,MIA,POR
Shot Chart Detail,0020000136,161,2067,Eddie House,1610612748,Miami Heat,2,5,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-130,137,1,1,20001118,MIA,POR
Shot Chart Detail,0020000136,168,2067,Eddie House,1610612748,Miami Heat,2,4,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001118,MIA,POR
Shot Chart Detail,0020000136,181,2067,Eddie House,1610612748,Miami Heat,2,4,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,112,1,0,20001118,MIA,POR
Shot Chart Detail,0020000136,187,2067,Eddie House,1610612748,Miami Heat,2,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,176,93,1,1,20001118,MIA,POR
Shot Chart Detail,0020000136,209,2067,Eddie House,1610612748,Miami Heat,2,0,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,167,23,1,1,20001118,MIA,POR
Shot Chart Detail,0020000136,288,2067,Eddie House,1610612748,Miami Heat,3,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,167,177,1,0,20001118,MIA,POR
Shot Chart Detail,0020000136,297,2067,Eddie House,1610612748,Miami Heat,3,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,167,93,1,1,20001118,MIA,POR
