GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21400826,185,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,6,26,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,0,20150222,0,OKC,DEN
Shot Chart Detail,21400826,416,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,3,1,36,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20150222,1,OKC,DEN
Shot Chart Detail,21400826,436,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,11,30,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20150222,1,OKC,DEN
Shot Chart Detail,21400826,445,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,10,19,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,155,9,1,0,20150222,0,OKC,DEN
Shot Chart Detail,21400826,458,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,9,9,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,228,12,1,0,20150222,0,OKC,DEN
Shot Chart Detail,21400826,546,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,1,34,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20150222,1,OKC,DEN
Shot Chart Detail,21400834,89,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,2,16,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,170,39,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400834,104,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,1,42,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-152,45,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400834,267,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,1,20,Missed Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400834,386,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,3,3,6,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-224,1,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400834,555,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,0,46,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-26,4,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400834,562,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,4,0,15,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,209,1,0,20150223,0,DEN,BKN
Shot Chart Detail,21400850,82,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,3,52,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,44,1,1,20150225,1,DEN,PHX
Shot Chart Detail,21400850,89,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,3,18,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,-5,156,1,0,20150225,0,DEN,PHX
Shot Chart Detail,21400850,93,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,3,12,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20150225,0,DEN,PHX
Shot Chart Detail,21400850,145,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,11,39,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20150225,1,DEN,PHX
Shot Chart Detail,21400850,147,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,11,4,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-193,160,1,1,20150225,1,DEN,PHX
Shot Chart Detail,21400850,157,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,9,39,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,13,54,129,1,0,20150225,0,DEN,PHX
Shot Chart Detail,21400850,418,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,3,4,32,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-5,1,0,20150225,0,DEN,PHX
Shot Chart Detail,21400866,9,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,11,10,Missed Shot,Jump Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,45,1,0,20150227,0,DEN,UTA
Shot Chart Detail,21400866,13,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,10,46,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-23,242,1,0,20150227,0,DEN,UTA
Shot Chart Detail,21400866,31,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,8,42,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-19,4,1,1,20150227,1,DEN,UTA
