GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21400376,519,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,1,5,Made Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,28,1,1,20141217,1,POR,MIL
Shot Chart Detail,21400381,13,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,10,3,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-82,140,1,0,20141218,0,SAC,MIL
Shot Chart Detail,21400381,273,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,9,40,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-187,0,1,1,20141218,1,SAC,MIL
Shot Chart Detail,21400381,275,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,9,6,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,152,25,1,0,20141218,0,SAC,MIL
Shot Chart Detail,21400381,436,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,8,13,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,141,121,1,1,20141218,1,SAC,MIL
Shot Chart Detail,21400399,10,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,10,18,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20141220,0,LAC,MIL
Shot Chart Detail,21400399,19,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,9,25,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,42,172,1,0,20141220,0,LAC,MIL
Shot Chart Detail,21400399,285,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,9,19,Made Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-98,86,1,1,20141220,1,LAC,MIL
Shot Chart Detail,21400423,8,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,11,12,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,19,12,190,1,0,20141223,0,MIL,CHA
Shot Chart Detail,21400423,14,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,10,6,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,-26,173,1,1,20141223,1,MIL,CHA
Shot Chart Detail,21400423,51,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,6,10,Made Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,60,1,1,20141223,0,MIL,CHA
Shot Chart Detail,21400434,3,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,11,25,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,89,173,1,1,20141226,1,ATL,MIL
Shot Chart Detail,21400434,11,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,10,21,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-117,149,1,1,20141226,1,ATL,MIL
Shot Chart Detail,21400434,17,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,9,43,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20141226,0,ATL,MIL
Shot Chart Detail,21400434,22,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,9,6,Missed Shot,Driving Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,11,1,0,20141226,0,ATL,MIL
Shot Chart Detail,21400434,40,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,7,24,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,138,145,1,1,20141226,1,ATL,MIL
Shot Chart Detail,21400434,470,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,3,41,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,20,176,102,1,0,20141226,0,ATL,MIL
Shot Chart Detail,21400434,476,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,2,55,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,21,198,78,1,0,20141226,0,ATL,MIL
Shot Chart Detail,21400434,490,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,1,51,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,144,56,1,0,20141226,0,ATL,MIL
Shot Chart Detail,21400434,498,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,4,0,51,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20141226,1,ATL,MIL
Shot Chart Detail,21400449,17,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,10,22,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,34,26,1,0,20141227,0,MIL,ATL
Shot Chart Detail,21400449,21,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,9,59,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,-8,178,1,0,20141227,0,MIL,ATL
Shot Chart Detail,21400449,35,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,8,34,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-6,1,1,0,20141227,0,MIL,ATL
Shot Chart Detail,21400449,251,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,10,15,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,30,1,0,20141227,0,MIL,ATL
Shot Chart Detail,21400459,295,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,8,35,Made Shot,Driving Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-10,64,1,1,20141229,0,CHA,MIL
Shot Chart Detail,21400479,42,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,1,7,24,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-152,3,1,0,20141231,0,CLE,MIL
Shot Chart Detail,21400479,278,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,9,21,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-8,17,1,1,20141231,1,CLE,MIL
Shot Chart Detail,21400479,299,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,6,19,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,47,1,0,20141231,0,CLE,MIL
Shot Chart Detail,21400479,304,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,5,58,Missed Shot,Jump Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,39,42,1,0,20141231,0,CLE,MIL
Shot Chart Detail,21400479,312,203948,Johnny O'Bryant III,1610612749,Milwaukee Bucks,3,5,17,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-166,75,1,0,20141231,0,CLE,MIL
