GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100602,155,204020,Tyler Johnson,1610612759,San Antonio Spurs,1,2,3,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,21,263,1,1,20220109,1,BKN,SAS
Shot Chart Detail,22100602,352,204020,Tyler Johnson,1610612759,San Antonio Spurs,2,0,54,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-135,211,1,0,20220109,0,BKN,SAS
Shot Chart Detail,22100602,573,204020,Tyler Johnson,1610612759,San Antonio Spurs,4,8,34,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,12,-93,89,1,0,20220109,0,BKN,SAS
Shot Chart Detail,22100610,102,204020,Tyler Johnson,1610612759,San Antonio Spurs,1,3,40,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-102,169,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100610,117,204020,Tyler Johnson,1610612759,San Antonio Spurs,1,2,40,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-21,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100610,437,204020,Tyler Johnson,1610612759,San Antonio Spurs,3,4,16,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-225,71,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100610,530,204020,Tyler Johnson,1610612759,San Antonio Spurs,4,9,38,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,232,0,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100610,584,204020,Tyler Johnson,1610612759,San Antonio Spurs,4,6,25,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,18,10,188,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100610,643,204020,Tyler Johnson,1610612759,San Antonio Spurs,4,1,53,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-224,4,1,1,20220110,1,NYK,SAS
Shot Chart Detail,22100610,647,204020,Tyler Johnson,1610612759,San Antonio Spurs,4,1,31,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,12,-118,39,1,0,20220110,0,NYK,SAS
Shot Chart Detail,22100478,169,204020,Tyler Johnson,1610612755,Philadelphia 76ers,2,9,19,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,167,193,1,0,20211223,0,PHI,ATL
Shot Chart Detail,22100478,171,204020,Tyler Johnson,1610612755,Philadelphia 76ers,2,9,8,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,158,205,1,0,20211223,0,PHI,ATL
Shot Chart Detail,22100478,176,204020,Tyler Johnson,1610612755,Philadelphia 76ers,2,8,50,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,221,94,1,1,20211223,1,PHI,ATL
Shot Chart Detail,22100495,129,204020,Tyler Johnson,1610612755,Philadelphia 76ers,1,2,4,Made Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,94,173,1,1,20211226,1,WAS,PHI
Shot Chart Detail,22100495,160,204020,Tyler Johnson,1610612755,Philadelphia 76ers,1,0,1,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,-11,157,1,0,20211226,0,WAS,PHI
Shot Chart Detail,22100495,424,204020,Tyler Johnson,1610612755,Philadelphia 76ers,3,4,22,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,21,-93,194,1,0,20211226,0,WAS,PHI
Shot Chart Detail,22100495,471,204020,Tyler Johnson,1610612755,Philadelphia 76ers,3,2,3,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-70,262,1,1,20211226,1,WAS,PHI
Shot Chart Detail,22100510,138,204020,Tyler Johnson,1610612755,Philadelphia 76ers,1,0,3,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,25,238,83,1,0,20211228,0,TOR,PHI
Shot Chart Detail,22100510,161,204020,Tyler Johnson,1610612755,Philadelphia 76ers,2,10,55,Missed Shot,Running Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,185,185,1,0,20211228,0,TOR,PHI
Shot Chart Detail,22100510,424,204020,Tyler Johnson,1610612755,Philadelphia 76ers,3,2,45,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-188,174,1,1,20211228,1,TOR,PHI
