GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100009,27,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,9,24,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,16,105,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,65,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,5,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,245,1,0,20211020,NOP,PHI
Shot Chart Detail,0022100009,72,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,1,4,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,257,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,4,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,30,1,0,20211020,NOP,PHI
Shot Chart Detail,0022100009,298,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,1,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,29,1,0,20211020,NOP,PHI
Shot Chart Detail,0022100009,314,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,0,27,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-69,78,1,0,20211020,NOP,PHI
Shot Chart Detail,0022100009,357,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,3,8,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-145,86,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,360,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,3,7,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,379,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,3,5,30,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,58,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,510,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,4,7,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-28,58,1,0,20211020,NOP,PHI
