GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100723,656,1630678,Terry Taylor,1610612754,Indiana Pacers,4,8,14,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-21,5,1,1,20220126,1,IND,CHA
Shot Chart Detail,22100741,188,1630678,Terry Taylor,1610612754,Indiana Pacers,2,9,44,Made Shot,Cutting Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,22,1,1,20220128,1,OKC,IND
Shot Chart Detail,22100741,194,1630678,Terry Taylor,1610612754,Indiana Pacers,2,9,5,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-22,10,1,1,20220128,1,OKC,IND
Shot Chart Detail,22100741,202,1630678,Terry Taylor,1610612754,Indiana Pacers,2,8,7,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-29,26,1,0,20220128,0,OKC,IND
Shot Chart Detail,22100741,205,1630678,Terry Taylor,1610612754,Indiana Pacers,2,7,59,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,78,27,1,0,20220128,0,OKC,IND
Shot Chart Detail,22100741,408,1630678,Terry Taylor,1610612754,Indiana Pacers,3,5,24,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220128,0,OKC,IND
Shot Chart Detail,22100741,425,1630678,Terry Taylor,1610612754,Indiana Pacers,3,4,6,Made Shot,Putback Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,26,50,1,1,20220128,0,OKC,IND
Shot Chart Detail,22100746,548,1630678,Terry Taylor,1610612754,Indiana Pacers,4,9,6,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-7,10,1,1,20220129,1,DAL,IND
Shot Chart Detail,22100746,559,1630678,Terry Taylor,1610612754,Indiana Pacers,4,8,13,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-234,22,1,0,20220129,0,DAL,IND
Shot Chart Detail,22100760,96,1630678,Terry Taylor,1610612754,Indiana Pacers,1,2,50,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-13,13,1,1,20220131,1,IND,LAC
Shot Chart Detail,22100760,154,1630678,Terry Taylor,1610612754,Indiana Pacers,2,10,55,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220131,0,IND,LAC
Shot Chart Detail,22100760,181,1630678,Terry Taylor,1610612754,Indiana Pacers,2,8,45,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1,20220131,1,IND,LAC
Shot Chart Detail,22100760,194,1630678,Terry Taylor,1610612754,Indiana Pacers,2,7,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,10,1,0,20220131,0,IND,LAC
Shot Chart Detail,22100760,286,1630678,Terry Taylor,1610612754,Indiana Pacers,2,1,52,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,15,27,1,0,20220131,0,IND,LAC
Shot Chart Detail,22100760,288,1630678,Terry Taylor,1610612754,Indiana Pacers,2,1,48,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-18,15,1,1,20220131,0,IND,LAC
Shot Chart Detail,22100760,416,1630678,Terry Taylor,1610612754,Indiana Pacers,3,2,47,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,16,7,1,1,20220131,1,IND,LAC
Shot Chart Detail,22100760,429,1630678,Terry Taylor,1610612754,Indiana Pacers,3,2,19,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-233,12,1,1,20220131,1,IND,LAC
Shot Chart Detail,22100760,505,1630678,Terry Taylor,1610612754,Indiana Pacers,4,7,53,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220131,0,IND,LAC
Shot Chart Detail,22100760,512,1630678,Terry Taylor,1610612754,Indiana Pacers,4,7,4,Missed Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,33,1,0,20220131,0,IND,LAC
Shot Chart Detail,22100760,515,1630678,Terry Taylor,1610612754,Indiana Pacers,4,7,1,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20220131,0,IND,LAC
Shot Chart Detail,22100773,14,1630678,Terry Taylor,1610612754,Indiana Pacers,1,11,27,Missed Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-32,14,1,0,20220202,0,IND,ORL
Shot Chart Detail,22100773,21,1630678,Terry Taylor,1610612754,Indiana Pacers,1,10,48,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20220202,0,IND,ORL
Shot Chart Detail,22100773,31,1630678,Terry Taylor,1610612754,Indiana Pacers,1,9,16,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-230,19,1,1,20220202,1,IND,ORL
Shot Chart Detail,22100773,39,1630678,Terry Taylor,1610612754,Indiana Pacers,1,8,5,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,148,213,1,0,20220202,0,IND,ORL
Shot Chart Detail,22100773,62,1630678,Terry Taylor,1610612754,Indiana Pacers,1,6,41,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20220202,1,IND,ORL
Shot Chart Detail,22100773,183,1630678,Terry Taylor,1610612754,Indiana Pacers,2,8,20,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20220202,1,IND,ORL
