GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100004,15,203897,Zach LaVine,1610612741,Chicago Bulls,1,10,58,Made Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,4,1,1,20211020,1,DET,CHI
Shot Chart Detail,22100004,18,203897,Zach LaVine,1610612741,Chicago Bulls,1,10,32,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,-1,91,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100004,81,203897,Zach LaVine,1610612741,Chicago Bulls,1,4,26,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,235,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100004,231,203897,Zach LaVine,1610612741,Chicago Bulls,2,7,19,Made Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-132,102,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,246,203897,Zach LaVine,1610612741,Chicago Bulls,2,6,15,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,23,7,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,248,203897,Zach LaVine,1610612741,Chicago Bulls,2,5,43,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,14,-148,5,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,303,203897,Zach LaVine,1610612741,Chicago Bulls,2,1,29,Made Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-157,218,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,355,203897,Zach LaVine,1610612741,Chicago Bulls,3,9,45,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,28,168,235,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100004,371,203897,Zach LaVine,1610612741,Chicago Bulls,3,8,38,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-54,166,1,1,20211020,1,DET,CHI
Shot Chart Detail,22100004,380,203897,Zach LaVine,1610612741,Chicago Bulls,3,7,14,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,382,203897,Zach LaVine,1610612741,Chicago Bulls,3,6,40,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-2,35,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,391,203897,Zach LaVine,1610612741,Chicago Bulls,3,6,6,Made Shot,Turnaround Fadeaway shot,,Mid-Range,Right Side(R),8-16 ft.,15,157,16,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,393,203897,Zach LaVine,1610612741,Chicago Bulls,3,5,30,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-1,255,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100004,422,203897,Zach LaVine,1610612741,Chicago Bulls,3,3,5,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1,20211020,0,DET,CHI
Shot Chart Detail,22100004,545,203897,Zach LaVine,1610612741,Chicago Bulls,4,5,56,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-179,180,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100004,564,203897,Zach LaVine,1610612741,Chicago Bulls,4,4,30,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20211020,1,DET,CHI
Shot Chart Detail,22100004,578,203897,Zach LaVine,1610612741,Chicago Bulls,4,3,25,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,0,20211020,0,DET,CHI
Shot Chart Detail,22100022,24,203897,Zach LaVine,1610612741,Chicago Bulls,1,10,9,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,26,-70,258,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,28,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,46,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,14,-124,75,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,124,203897,Zach LaVine,1610612741,Chicago Bulls,1,2,28,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,14,-143,22,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,133,203897,Zach LaVine,1610612741,Chicago Bulls,1,1,38,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,12,262,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,239,203897,Zach LaVine,1610612741,Chicago Bulls,2,5,50,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-229,-9,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,251,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,54,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,256,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,39,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,55,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,259,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,36,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100022,262,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,12,Made Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-94,251,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100022,273,203897,Zach LaVine,1610612741,Chicago Bulls,2,3,13,Made Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,231,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100022,293,203897,Zach LaVine,1610612741,Chicago Bulls,2,1,45,Made Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-92,259,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100022,296,203897,Zach LaVine,1610612741,Chicago Bulls,2,1,24,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,-3,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,356,203897,Zach LaVine,1610612741,Chicago Bulls,3,8,5,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-39,268,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,362,203897,Zach LaVine,1610612741,Chicago Bulls,3,7,41,Made Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,24,23,247,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100022,365,203897,Zach LaVine,1610612741,Chicago Bulls,3,7,12,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,222,4,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,407,203897,Zach LaVine,1610612741,Chicago Bulls,3,4,14,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,38,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,532,203897,Zach LaVine,1610612741,Chicago Bulls,4,7,47,Missed Shot,Step Back Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-145,115,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,545,203897,Zach LaVine,1610612741,Chicago Bulls,4,6,47,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,555,203897,Zach LaVine,1610612741,Chicago Bulls,4,6,1,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-4,1,1,20211022,0,CHI,NOP
Shot Chart Detail,22100030,27,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,52,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,83,171,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,60,203897,Zach LaVine,1610612741,Chicago Bulls,1,6,31,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-26,27,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,112,203897,Zach LaVine,1610612741,Chicago Bulls,1,3,26,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-165,183,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,253,203897,Zach LaVine,1610612741,Chicago Bulls,2,7,4,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-151,194,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,269,203897,Zach LaVine,1610612741,Chicago Bulls,2,6,37,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,16,9,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,280,203897,Zach LaVine,1610612741,Chicago Bulls,2,5,53,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20211023,1,CHI,DET
Shot Chart Detail,22100030,289,203897,Zach LaVine,1610612741,Chicago Bulls,2,5,1,Made Shot,Cutting Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,10,-5,1,1,20211023,1,CHI,DET
Shot Chart Detail,22100030,320,203897,Zach LaVine,1610612741,Chicago Bulls,2,3,3,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,-29,166,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,343,203897,Zach LaVine,1610612741,Chicago Bulls,2,1,18,Missed Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,5,19,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,358,203897,Zach LaVine,1610612741,Chicago Bulls,2,0,16,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-151,195,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,374,203897,Zach LaVine,1610612741,Chicago Bulls,3,11,14,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,37,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,396,203897,Zach LaVine,1610612741,Chicago Bulls,3,9,17,Made Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,25,54,249,1,1,20211023,1,CHI,DET
Shot Chart Detail,22100030,420,203897,Zach LaVine,1610612741,Chicago Bulls,3,6,37,Made Shot,Pullup Jump shot,,Right Corner 3,Right Side(R),24+ ft.,23,235,0,1,1,20211023,0,CHI,DET
Shot Chart Detail,22100030,447,203897,Zach LaVine,1610612741,Chicago Bulls,3,4,23,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20211023,1,CHI,DET
Shot Chart Detail,22100030,455,203897,Zach LaVine,1610612741,Chicago Bulls,3,3,5,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,239,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,632,203897,Zach LaVine,1610612741,Chicago Bulls,4,3,34,Made Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,22,87,211,1,1,20211023,0,CHI,DET
Shot Chart Detail,22100030,645,203897,Zach LaVine,1610612741,Chicago Bulls,4,2,30,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-136,16,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100030,655,203897,Zach LaVine,1610612741,Chicago Bulls,4,1,31,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-6,37,1,0,20211023,0,CHI,DET
Shot Chart Detail,22100046,9,203897,Zach LaVine,1610612741,Chicago Bulls,1,11,37,Missed Shot,Step Back Jump shot,,Left Corner 3,Left Side(L),24+ ft.,24,-238,31,1,0,20211025,0,TOR,CHI
Shot Chart Detail,22100046,71,203897,Zach LaVine,1610612741,Chicago Bulls,1,5,25,Missed Shot,Driving Finger Roll Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,7,47,1,0,20211025,0,TOR,CHI
Shot Chart Detail,22100046,109,203897,Zach LaVine,1610612741,Chicago Bulls,1,3,12,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,246,0,1,0,20211025,0,TOR,CHI
