GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100001,640,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,3,27,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-82,146,1,0,20211019,0,MIL,BKN
Shot Chart Detail,22100001,687,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,0,35,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,233,129,1,0,20211019,0,MIL,BKN
Shot Chart Detail,22100044,654,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,3,44,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,5,250,1,0,20211025,0,BKN,WAS
Shot Chart Detail,22100044,674,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,40,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,83,143,1,0,20211025,0,BKN,WAS
Shot Chart Detail,22100044,683,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,0,26,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,40,57,1,0,20211025,0,BKN,WAS
Shot Chart Detail,22100092,574,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,56,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,0,20211031,0,BKN,DET
Shot Chart Detail,22100148,620,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,2,19,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-86,206,1,0,20211108,0,CHI,BKN
Shot Chart Detail,22100148,642,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,16,Missed Shot,Step Back Jump shot,,Mid-Range,Center(C),16-24 ft.,22,-51,220,1,0,20211108,0,CHI,BKN
Shot Chart Detail,22100159,625,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,4,51,Missed Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,12,30,1,0,20211110,0,ORL,BKN
Shot Chart Detail,22100159,667,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,38,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,28,5,1,1,20211110,0,ORL,BKN
Shot Chart Detail,22100196,605,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,2,25,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-67,8,1,1,20211114,0,OKC,BKN
Shot Chart Detail,22100196,608,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,43,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,10,-89,64,1,1,20211114,1,OKC,BKN
Shot Chart Detail,22100196,612,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,19,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,205,1,0,20211114,0,OKC,BKN
Shot Chart Detail,22100196,616,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,0,53,Missed Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-116,245,1,0,20211114,0,OKC,BKN
Shot Chart Detail,22100210,521,1630560,Cam Thomas,1610612751,Brooklyn Nets,3,1,13,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-127,242,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,528,1630560,Cam Thomas,1610612751,Brooklyn Nets,3,0,6,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-28,37,1,1,20211116,1,BKN,GSW
Shot Chart Detail,22100210,550,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,11,8,Missed Shot,Driving Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,562,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,9,54,Missed Shot,Running Pull-Up Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-114,235,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,593,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,8,2,Missed Shot,Running Pull-Up Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-4,247,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,610,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,7,10,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,50,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,619,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,6,25,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-191,174,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100210,664,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,2,34,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,48,119,1,1,20211116,0,BKN,GSW
Shot Chart Detail,22100210,676,1630560,Cam Thomas,1610612751,Brooklyn Nets,4,1,12,Missed Shot,Pullup Jump shot,,Right Corner 3,Right Side(R),24+ ft.,23,228,57,1,0,20211116,0,BKN,GSW
Shot Chart Detail,22100233,191,1630560,Cam Thomas,1610612751,Brooklyn Nets,2,10,30,Missed Shot,Step Back Jump shot,,Mid-Range,Left Side(L),16-24 ft.,20,-172,108,1,0,20211119,0,BKN,ORL
Shot Chart Detail,22100253,155,1630560,Cam Thomas,1610612751,Brooklyn Nets,1,0,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,147,1,1,20211122,1,CLE,BKN
