GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100006,16,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,10,20,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,24,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,34,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,8,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,22,48,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,42,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,8,5,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,42,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100006,105,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,6,2,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-62,126,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100006,182,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,11,16,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,19,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,185,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,10,55,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100006,374,203915,Spencer Dinwiddie,1610612764,Washington Wizards,3,11,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,21,70,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,535,203915,Spencer Dinwiddie,1610612764,Washington Wizards,3,0,53,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,45,48,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100006,569,203915,Spencer Dinwiddie,1610612764,Washington Wizards,4,11,4,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,44,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100006,575,203915,Spencer Dinwiddie,1610612764,Washington Wizards,4,10,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-67,52,1,0,20211020,TOR,WAS
Shot Chart Detail,0022100019,11,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,11,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,62,53,1,0,20211022,WAS,IND
Shot Chart Detail,0022100019,23,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,10,6,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-145,251,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,38,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,9,26,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-97,75,1,0,20211022,WAS,IND
Shot Chart Detail,0022100019,49,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,8,20,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,20,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,64,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,6,45,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,17,1,0,20211022,WAS,IND
Shot Chart Detail,0022100019,143,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,2,7,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,74,130,1,0,20211022,WAS,IND
Shot Chart Detail,0022100019,173,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,0,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,110,121,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,176,203915,Spencer Dinwiddie,1610612764,Washington Wizards,1,0,0,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,201,128,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,183,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,11,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,194,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,10,27,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,29,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,312,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,2,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,17,1,1,20211022,WAS,IND
Shot Chart Detail,0022100019,326,203915,Spencer Dinwiddie,1610612764,Washington Wizards,2,0,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-20,1,1,20211022,WAS,IND
