GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100002,32,203145,Kent Bazemore,1610612747,Los Angeles Lakers,1,9,47,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-233,6,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100002,94,203145,Kent Bazemore,1610612747,Los Angeles Lakers,1,5,7,Made Shot,Step Back Jump shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,55,1,1,20211019,1,LAL,GSW
Shot Chart Detail,22100002,365,203145,Kent Bazemore,1610612747,Los Angeles Lakers,2,0,0,Missed Shot,Jump Shot,,Backcourt,Back Court(BC),Back Court Shot,49,77,487,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100002,425,203145,Kent Bazemore,1610612747,Los Angeles Lakers,3,8,40,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,44,1,1,20211019,1,LAL,GSW
Shot Chart Detail,22100002,443,203145,Kent Bazemore,1610612747,Los Angeles Lakers,3,7,12,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,76,259,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100002,465,203145,Kent Bazemore,1610612747,Los Angeles Lakers,3,6,0,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-233,33,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100002,508,203145,Kent Bazemore,1610612747,Los Angeles Lakers,3,2,35,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,17,-175,39,1,1,20211019,1,LAL,GSW
Shot Chart Detail,22100002,674,203145,Kent Bazemore,1610612747,Los Angeles Lakers,4,3,4,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,222,54,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100002,697,203145,Kent Bazemore,1610612747,Los Angeles Lakers,4,0,54,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,134,236,1,0,20211019,0,LAL,GSW
Shot Chart Detail,22100025,35,203145,Kent Bazemore,1610612747,Los Angeles Lakers,1,8,44,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,224,11,1,1,20211022,1,LAL,PHX
