GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100010,20,1629640,Keldon Johnson,1610612759,San Antonio Spurs,1,10,27,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),16-24 ft.,16,-134,97,1,1,20211020,0,SAS,ORL
Shot Chart Detail,22100010,70,1629640,Keldon Johnson,1610612759,San Antonio Spurs,1,6,52,Made Shot,Reverse Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-4,1,1,20211020,1,SAS,ORL
Shot Chart Detail,22100010,81,1629640,Keldon Johnson,1610612759,San Antonio Spurs,1,5,56,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,6,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,212,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,9,11,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-23,7,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,234,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,8,29,Missed Shot,Driving Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-44,59,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,267,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,6,13,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,269,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,6,13,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,0,SAS,ORL
Shot Chart Detail,22100010,330,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,2,48,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,65,1,1,20211020,1,SAS,ORL
Shot Chart Detail,22100010,337,1629640,Keldon Johnson,1610612759,San Antonio Spurs,2,2,16,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,15,-157,17,1,1,20211020,1,SAS,ORL
Shot Chart Detail,22100010,414,1629640,Keldon Johnson,1610612759,San Antonio Spurs,3,9,45,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1,20211020,1,SAS,ORL
Shot Chart Detail,22100010,423,1629640,Keldon Johnson,1610612759,San Antonio Spurs,3,8,57,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,63,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,428,1629640,Keldon Johnson,1610612759,San Antonio Spurs,3,8,39,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,182,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100024,16,1629640,Keldon Johnson,1610612759,San Antonio Spurs,1,10,42,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,17,5,172,1,1,20211022,0,DEN,SAS
