GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100007,20,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,10,21,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,12,-110,60,1,1,20211020,0,MEM,CLE
Shot Chart Detail,22100007,116,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,2,54,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13,1,1,20211020,1,MEM,CLE
Shot Chart Detail,22100007,132,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,2,14,Made Shot,Running Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211020,1,MEM,CLE
Shot Chart Detail,22100007,153,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,0,0,Missed Shot,Running Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,35,-129,331,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100007,171,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,11,6,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,0,MEM,CLE
Shot Chart Detail,22100007,283,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,3,44,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,85,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100007,326,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,0,42,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20211020,1,MEM,CLE
Shot Chart Detail,22100007,364,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,3,10,39,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,98,247,1,1,20211020,1,MEM,CLE
Shot Chart Detail,22100007,386,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,3,8,42,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,231,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100007,494,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,3,0,36,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,98,235,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100007,516,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,4,11,47,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-1,17,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100007,643,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,4,2,33,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,76,234,1,1,20211020,1,MEM,CLE
Shot Chart Detail,22100007,696,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,4,0,9,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,230,1,0,20211020,0,MEM,CLE
Shot Chart Detail,22100017,26,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,9,46,Made Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,10,100,20,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,58,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,1,7,9,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,17,25,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,173,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,11,40,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,181,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,11,6,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,244,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,185,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,10,33,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-165,215,1,0,20211022,0,CLE,CHA
Shot Chart Detail,22100017,194,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,9,39,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,121,243,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,228,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,7,30,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,7,12,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,261,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,5,12,Made Shot,Running Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-3,1,1,20211022,1,CLE,CHA
Shot Chart Detail,22100017,279,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,2,3,25,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,134,221,1,0,20211022,0,CLE,CHA
Shot Chart Detail,22100017,345,1629012,Collin Sexton,1610612739,Cleveland Cavaliers,3,11,20,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-53,40,1,1,20211022,0,CLE,CHA
