GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100016,86,1629611,Terance Mann,1610612746,LA Clippers,1,5,40,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-159,195,1,0,20211021,GSW,LAC
Shot Chart Detail,0022100016,152,1629611,Terance Mann,1610612746,LA Clippers,1,0,1,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,213,67,1,0,20211021,GSW,LAC
Shot Chart Detail,0022100016,327,1629611,Terance Mann,1610612746,LA Clippers,2,0,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,340,1629611,Terance Mann,1610612746,LA Clippers,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,55,93,545,1,0,20211021,GSW,LAC
Shot Chart Detail,0022100016,411,1629611,Terance Mann,1610612746,LA Clippers,3,8,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,22,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,499,1629611,Terance Mann,1610612746,LA Clippers,3,1,15,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,22,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,699,1629611,Terance Mann,1610612746,LA Clippers,4,9,34,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,19,1,0,20211021,GSW,LAC
Shot Chart Detail,0022100016,638,1629611,Terance Mann,1610612746,LA Clippers,4,3,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,17,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100034,92,1629611,Terance Mann,1610612746,LA Clippers,1,4,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,10,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,151,1629611,Terance Mann,1610612746,LA Clippers,2,11,51,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-12,107,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,196,1629611,Terance Mann,1610612746,LA Clippers,2,7,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,221,6,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,227,1629611,Terance Mann,1610612746,LA Clippers,2,6,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,123,214,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,231,1629611,Terance Mann,1610612746,LA Clippers,2,5,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20211023,LAC,MEM
Shot Chart Detail,0022100034,505,1629611,Terance Mann,1610612746,LA Clippers,4,10,13,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,570,1629611,Terance Mann,1610612746,LA Clippers,4,6,45,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100034,572,1629611,Terance Mann,1610612746,LA Clippers,4,6,41,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211023,LAC,MEM
Shot Chart Detail,0022100049,184,1629611,Terance Mann,1610612746,LA Clippers,2,9,59,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,219,137,1,0,20211025,LAC,POR
Shot Chart Detail,0022100049,213,1629611,Terance Mann,1610612746,LA Clippers,2,7,51,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211025,LAC,POR
Shot Chart Detail,0022100049,482,1629611,Terance Mann,1610612746,LA Clippers,3,2,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20211025,LAC,POR
Shot Chart Detail,0022100049,507,1629611,Terance Mann,1610612746,LA Clippers,3,0,39,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20211025,LAC,POR
Shot Chart Detail,0022100049,510,1629611,Terance Mann,1610612746,LA Clippers,3,0,9,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,43,1,1,20211025,LAC,POR
Shot Chart Detail,0022100049,562,1629611,Terance Mann,1610612746,LA Clippers,4,8,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,34,1,1,20211025,LAC,POR
Shot Chart Detail,0022100064,91,1629611,Terance Mann,1610612746,LA Clippers,1,5,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,172,199,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100064,142,1629611,Terance Mann,1610612746,LA Clippers,1,2,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-127,69,1,1,20211027,LAC,CLE
Shot Chart Detail,0022100064,200,1629611,Terance Mann,1610612746,LA Clippers,2,10,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,10,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100064,502,1629611,Terance Mann,1610612746,LA Clippers,3,0,4,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100064,548,1629611,Terance Mann,1610612746,LA Clippers,4,9,14,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,16,136,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100064,625,1629611,Terance Mann,1610612746,LA Clippers,4,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,147,217,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100064,628,1629611,Terance Mann,1610612746,LA Clippers,4,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,233,131,1,1,20211027,LAC,CLE
Shot Chart Detail,0022100064,639,1629611,Terance Mann,1610612746,LA Clippers,4,2,3,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,27,1,1,20211027,LAC,CLE
Shot Chart Detail,0022100064,642,1629611,Terance Mann,1610612746,LA Clippers,4,1,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-141,49,1,0,20211027,LAC,CLE
Shot Chart Detail,0022100076,188,1629611,Terance Mann,1610612746,LA Clippers,2,10,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-214,117,1,0,20211029,POR,LAC
Shot Chart Detail,0022100076,226,1629611,Terance Mann,1610612746,LA Clippers,2,7,5,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,10,1,0,20211029,POR,LAC
Shot Chart Detail,0022100076,487,1629611,Terance Mann,1610612746,LA Clippers,3,1,13,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,51,88,1,0,20211029,POR,LAC
Shot Chart Detail,0022100076,515,1629611,Terance Mann,1610612746,LA Clippers,4,10,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,0,20211029,POR,LAC
Shot Chart Detail,0022100076,524,1629611,Terance Mann,1610612746,LA Clippers,4,9,52,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211029,POR,LAC
Shot Chart Detail,0022100076,591,1629611,Terance Mann,1610612746,LA Clippers,4,4,33,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,6,1,0,20211029,POR,LAC
