GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100006,443,203920,Khem Birch,1610612761,Toronto Raptors,3,6,43,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20211020,1,TOR,WAS
Shot Chart Detail,22100006,459,203920,Khem Birch,1610612761,Toronto Raptors,3,5,20,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,0,20211020,0,TOR,WAS
Shot Chart Detail,22100006,461,203920,Khem Birch,1610612761,Toronto Raptors,3,5,17,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,0,TOR,WAS
Shot Chart Detail,22100006,609,203920,Khem Birch,1610612761,Toronto Raptors,4,8,5,Made Shot,Tip Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,0,TOR,WAS
Shot Chart Detail,22100020,210,203920,Khem Birch,1610612761,Toronto Raptors,2,10,27,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,0,20211022,0,BOS,TOR
Shot Chart Detail,22100020,476,203920,Khem Birch,1610612761,Toronto Raptors,3,0,53,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,229,54,1,0,20211022,0,BOS,TOR
Shot Chart Detail,22100020,480,203920,Khem Birch,1610612761,Toronto Raptors,3,0,28,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-17,20,1,1,20211022,1,BOS,TOR
Shot Chart Detail,22100029,451,203920,Khem Birch,1610612761,Toronto Raptors,3,4,21,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,-4,1,1,20211023,1,TOR,DAL
Shot Chart Detail,22100029,524,203920,Khem Birch,1610612761,Toronto Raptors,4,11,26,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-229,1,1,0,20211023,0,TOR,DAL
Shot Chart Detail,22100046,107,203920,Khem Birch,1610612761,Toronto Raptors,1,3,21,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20211025,1,TOR,CHI
