GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100009,139,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,0,28,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,28,-185,223,1,0,20211020,0,NOP,PHI
Shot Chart Detail,22100022,126,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,2,15,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-228,-10,1,1,20211022,1,CHI,NOP
Shot Chart Detail,22100022,163,202066,Garrett Temple,1610612740,New Orleans Pelicans,2,11,36,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),8-16 ft.,14,24,146,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,191,202066,Garrett Temple,1610612740,New Orleans Pelicans,2,8,49,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,114,32,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100022,482,202066,Garrett Temple,1610612740,New Orleans Pelicans,4,11,19,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-224,-15,1,0,20211022,0,CHI,NOP
Shot Chart Detail,22100031,195,202066,Garrett Temple,1610612740,New Orleans Pelicans,2,11,14,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-227,-8,1,1,20211023,1,MIN,NOP
Shot Chart Detail,22100047,100,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,4,27,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,71,248,1,1,20211025,1,MIN,NOP
Shot Chart Detail,22100047,104,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,4,1,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,178,185,1,0,20211025,0,MIN,NOP
Shot Chart Detail,22100047,126,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,3,0,Missed Shot,Step Back Jump shot,,Left Corner 3,Left Side(L),24+ ft.,23,-225,66,1,0,20211025,0,MIN,NOP
Shot Chart Detail,22100047,482,202066,Garrett Temple,1610612740,New Orleans Pelicans,3,2,46,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20211025,0,MIN,NOP
Shot Chart Detail,22100047,671,202066,Garrett Temple,1610612740,New Orleans Pelicans,4,1,17,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,0,20211025,0,MIN,NOP
Shot Chart Detail,22100059,103,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,4,33,Made Shot,Running Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-1,1,1,20211027,0,NOP,ATL
Shot Chart Detail,22100059,138,202066,Garrett Temple,1610612740,New Orleans Pelicans,1,1,44,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-22,15,1,1,20211027,1,NOP,ATL
