GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100010,676,1630563,Joshua Primo,1610612759,San Antonio Spurs,4,2,12,Made Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,172,206,1,1,20211020,1,SAS,ORL
Shot Chart Detail,22100032,687,1630563,Joshua Primo,1610612759,San Antonio Spurs,4,0,5,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211023,0,SAS,MIL
Shot Chart Detail,22100287,218,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,8,48,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,205,176,1,0,20211126,0,SAS,BOS
Shot Chart Detail,22100311,234,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,7,15,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,78,236,1,1,20211129,1,SAS,WAS
Shot Chart Detail,22100311,253,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,5,48,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,202,153,1,1,20211129,1,SAS,WAS
Shot Chart Detail,22100360,190,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,9,22,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,230,131,1,0,20211206,0,PHX,SAS
Shot Chart Detail,22100360,208,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,7,29,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-97,239,1,1,20211206,1,PHX,SAS
Shot Chart Detail,22100360,232,1630563,Joshua Primo,1610612759,San Antonio Spurs,2,6,26,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,27,90,1,0,20211206,0,PHX,SAS
Shot Chart Detail,22100360,472,1630563,Joshua Primo,1610612759,San Antonio Spurs,3,3,6,Missed Shot,Running Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-167,189,1,0,20211206,0,PHX,SAS
Shot Chart Detail,22100360,560,1630563,Joshua Primo,1610612759,San Antonio Spurs,4,9,35,Made Shot,Running Finger Roll Layup Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,32,85,1,1,20211206,1,PHX,SAS
