GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100015,73,200782,P.J. Tucker,1610612748,Miami Heat,1,7,14,Made Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,49,6,1,1,20211021,1,MIA,MIL
Shot Chart Detail,22100015,106,200782,P.J. Tucker,1610612748,Miami Heat,1,4,46,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,183,1,1,20211021,1,MIA,MIL
Shot Chart Detail,22100015,122,200782,P.J. Tucker,1610612748,Miami Heat,1,4,9,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-235,-6,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,425,200782,P.J. Tucker,1610612748,Miami Heat,3,9,33,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,43,1,1,20211021,1,MIA,MIL
Shot Chart Detail,22100028,55,200782,P.J. Tucker,1610612748,Miami Heat,1,6,56,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-228,31,1,0,20211023,0,IND,MIA
Shot Chart Detail,22100028,278,200782,P.J. Tucker,1610612748,Miami Heat,2,2,36,Missed Shot,Pullup Jump shot,,Left Corner 3,Left Side(L),24+ ft.,22,-225,27,1,0,20211023,0,IND,MIA
Shot Chart Detail,22100028,416,200782,P.J. Tucker,1610612748,Miami Heat,3,4,33,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,72,253,1,0,20211023,0,IND,MIA
Shot Chart Detail,22100045,15,200782,P.J. Tucker,1610612748,Miami Heat,1,10,40,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-239,16,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100045,34,200782,P.J. Tucker,1610612748,Miami Heat,1,8,45,Missed Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,21,25,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100045,338,200782,P.J. Tucker,1610612748,Miami Heat,3,10,57,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,229,-4,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100045,402,200782,P.J. Tucker,1610612748,Miami Heat,3,5,47,Missed Shot,Driving Floating Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,11,-118,21,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100057,35,200782,P.J. Tucker,1610612748,Miami Heat,1,8,12,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,234,4,1,1,20211027,1,BKN,MIA
Shot Chart Detail,22100057,38,200782,P.J. Tucker,1610612748,Miami Heat,1,7,50,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-230,-22,1,0,20211027,0,BKN,MIA
Shot Chart Detail,22100057,109,200782,P.J. Tucker,1610612748,Miami Heat,1,3,32,Missed Shot,Turnaround Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,12,34,1,0,20211027,0,BKN,MIA
Shot Chart Detail,22100057,114,200782,P.J. Tucker,1610612748,Miami Heat,1,3,22,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-11,1,1,20211027,1,BKN,MIA
Shot Chart Detail,22100057,153,200782,P.J. Tucker,1610612748,Miami Heat,1,0,5,Missed Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,-47,84,1,0,20211027,0,BKN,MIA
Shot Chart Detail,22100057,379,200782,P.J. Tucker,1610612748,Miami Heat,3,9,9,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-229,10,1,0,20211027,0,BKN,MIA
Shot Chart Detail,22100057,384,200782,P.J. Tucker,1610612748,Miami Heat,3,8,36,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,11,-48,105,1,1,20211027,1,BKN,MIA
Shot Chart Detail,22100057,411,200782,P.J. Tucker,1610612748,Miami Heat,3,5,31,Made Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,44,1,1,20211027,0,BKN,MIA
Shot Chart Detail,22100057,450,200782,P.J. Tucker,1610612748,Miami Heat,3,3,10,Missed Shot,Floating Jump shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-74,50,1,0,20211027,0,BKN,MIA
Shot Chart Detail,22100057,657,200782,P.J. Tucker,1610612748,Miami Heat,4,1,34,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-222,31,1,1,20211027,1,BKN,MIA
Shot Chart Detail,22100073,48,200782,P.J. Tucker,1610612748,Miami Heat,1,7,58,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,17,1,0,20211029,0,MIA,CHA
Shot Chart Detail,22100073,85,200782,P.J. Tucker,1610612748,Miami Heat,1,5,51,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-229,29,1,0,20211029,0,MIA,CHA
Shot Chart Detail,22100073,335,200782,P.J. Tucker,1610612748,Miami Heat,2,0,49,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211029,1,MIA,CHA
Shot Chart Detail,22100073,389,200782,P.J. Tucker,1610612748,Miami Heat,3,9,41,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,232,-5,1,0,20211029,0,MIA,CHA
Shot Chart Detail,22100073,427,200782,P.J. Tucker,1610612748,Miami Heat,3,6,55,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-238,10,1,0,20211029,0,MIA,CHA
Shot Chart Detail,22100084,99,200782,P.J. Tucker,1610612748,Miami Heat,1,2,58,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20211030,1,MEM,MIA
Shot Chart Detail,22100084,262,200782,P.J. Tucker,1610612748,Miami Heat,2,4,8,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,22,49,222,1,0,20211030,0,MEM,MIA
Shot Chart Detail,22100084,291,200782,P.J. Tucker,1610612748,Miami Heat,2,2,38,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-230,27,1,1,20211030,1,MEM,MIA
