GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100015,31,200768,Kyle Lowry,1610612748,Miami Heat,1,10,14,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,201,176,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,48,200768,Kyle Lowry,1610612748,Miami Heat,1,8,48,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,127,37,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,176,200768,Kyle Lowry,1610612748,Miami Heat,1,0,6,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,22,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,264,200768,Kyle Lowry,1610612748,Miami Heat,2,7,33,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,22,252,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,311,200768,Kyle Lowry,1610612748,Miami Heat,2,4,48,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-239,12,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,399,200768,Kyle Lowry,1610612748,Miami Heat,3,11,39,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-124,245,1,1,20211021,1,MIA,MIL
Shot Chart Detail,22100015,452,200768,Kyle Lowry,1610612748,Miami Heat,3,7,23,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-96,236,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100015,483,200768,Kyle Lowry,1610612748,Miami Heat,3,5,7,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,211,1,0,20211021,0,MIA,MIL
Shot Chart Detail,22100045,42,200768,Kyle Lowry,1610612748,Miami Heat,1,8,26,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-232,73,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100045,142,200768,Kyle Lowry,1610612748,Miami Heat,1,0,57,Made Shot,Turnaround Fadeaway shot,,In The Paint (Non-RA),Center(C),8-16 ft.,14,67,133,1,1,20211025,1,MIA,ORL
