GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100065,133,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,2,4,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),8-16 ft.,14,-7,149,1,0,20211028,0,PHI,DET
Shot Chart Detail,22100065,146,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,0,40,Made Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,39,43,1,1,20211028,1,PHI,DET
Shot Chart Detail,22100065,174,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,10,24,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-67,73,1,0,20211028,0,PHI,DET
Shot Chart Detail,22100065,200,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,8,47,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,14,1,1,20211028,0,PHI,DET
Shot Chart Detail,22100065,447,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,1,30,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,175,1,0,20211028,0,PHI,DET
Shot Chart Detail,22100065,474,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,0,2,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-12,15,1,1,20211028,0,PHI,DET
Shot Chart Detail,22100065,516,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,10,18,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-24,48,1,0,20211028,0,PHI,DET
Shot Chart Detail,22100065,528,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,9,15,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-183,207,1,1,20211028,1,PHI,DET
Shot Chart Detail,22100065,544,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,8,16,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-75,262,1,1,20211028,1,PHI,DET
Shot Chart Detail,22100065,583,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,5,23,Missed Shot,Turnaround Fadeaway shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,10,1,0,20211028,0,PHI,DET
Shot Chart Detail,22100082,124,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,2,47,Missed Shot,Running Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,211,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,177,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,0,0,Missed Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-93,251,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,191,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,11,5,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,120,219,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,216,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,8,38,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,21,53,1,1,20211030,0,PHI,ATL
Shot Chart Detail,22100082,220,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,8,13,Made Shot,Running Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20211030,0,PHI,ATL
Shot Chart Detail,22100082,235,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,7,35,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,13,89,96,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,305,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-102,242,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,492,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,0,44,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20211030,1,PHI,ATL
Shot Chart Detail,22100082,496,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,0,18,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-200,188,1,1,20211030,1,PHI,ATL
Shot Chart Detail,22100082,505,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,11,43,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-98,257,1,0,20211030,0,PHI,ATL
Shot Chart Detail,22100082,547,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,8,47,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,16,49,1,1,20211030,0,PHI,ATL
Shot Chart Detail,22100096,136,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,0,10,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,1,20211101,0,PHI,POR
Shot Chart Detail,22100096,154,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,11,4,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Right Side(R),8-16 ft.,14,145,-21,1,0,20211101,0,PHI,POR
Shot Chart Detail,22100096,174,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,9,33,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,85,261,1,0,20211101,0,PHI,POR
Shot Chart Detail,22100096,186,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,8,44,Made Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-31,22,1,1,20211101,0,PHI,POR
Shot Chart Detail,22100096,212,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,6,54,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,11,-15,109,1,1,20211101,0,PHI,POR
Shot Chart Detail,22100096,295,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,0,0,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-153,231,1,0,20211101,0,PHI,POR
