GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100025,527,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,11,4,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,55,1,1,20211022,1,LAL,PHX
Shot Chart Detail,22100025,606,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,6,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-180,184,1,1,20211022,1,LAL,PHX
Shot Chart Detail,22100025,648,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,1,51,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-179,221,1,1,20211022,1,LAL,PHX
Shot Chart Detail,22100025,683,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,142,222,1,0,20211022,0,LAL,PHX
Shot Chart Detail,22100040,219,1630559,Austin Reaves,1610612747,Los Angeles Lakers,2,8,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20211024,1,LAL,MEM
Shot Chart Detail,22100040,225,1630559,Austin Reaves,1610612747,Los Angeles Lakers,2,7,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-8,1,0,20211024,0,LAL,MEM
Shot Chart Detail,22100040,536,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,10,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20211024,1,LAL,MEM
Shot Chart Detail,22100053,368,1630559,Austin Reaves,1610612747,Los Angeles Lakers,2,0,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,134,226,1,0,20211026,0,SAS,LAL
Shot Chart Detail,22100053,525,1630559,Austin Reaves,1610612747,Los Angeles Lakers,3,1,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,49,1,1,20211026,1,SAS,LAL
Shot Chart Detail,22100053,569,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,10,22,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,185,184,1,1,20211026,1,SAS,LAL
Shot Chart Detail,22100053,610,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,7,36,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,17,-9,175,1,1,20211026,1,SAS,LAL
Shot Chart Detail,22100053,675,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,2,42,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,229,-1,1,0,20211026,0,SAS,LAL
Shot Chart Detail,22100061,139,1630559,Austin Reaves,1610612747,Los Angeles Lakers,1,1,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,46,1,0,20211027,0,OKC,LAL
Shot Chart Detail,22100061,147,1630559,Austin Reaves,1610612747,Los Angeles Lakers,1,1,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,125,149,1,1,20211027,1,OKC,LAL
